"","x"
"1",-1.89393939393939
"2",-1.59090909090909
"3",-1.56060606060606
"4",-1.37878787878788
"5",-1.86363636363636
"6",-1.40909090909091
"7",-1.31818181818182
"8",-1.37878787878788
"9",-1.5
"10",-1.37878787878788
"11",-1.65151515151515
"12",-1.43939393939394
"13",-1.65151515151515
"14",-1.5
"15",-1.5
"16",-1.56060606060606
"17",-1.40909090909091
"18",-1.56060606060606
"19",-1.46969696969697
"20",-1.16666666666667
"21",-1.43939393939394
"22",-1.1969696969697
"23",-1.43939393939394
"24",-1.46969696969697
"25",-1.37878787878788
"26",-1.5
"27",-1.86363636363636
"28",-1.34848484848485
"29",-1.68181818181818
"30",-1.40909090909091
"31",-2.16666666666667
"32",-1.31818181818182
"33",-1.43939393939394
"34",-1.40909090909091
"35",-1.46969696969697
"36",-2.04545454545455
"37",-1.56060606060606
"38",-1.62121212121212
"39",-1.43939393939394
"40",-1.8030303030303
"41",-1.59090909090909
"42",-1.65151515151515
"43",-1.28787878787879
"44",-2.16666666666667
"45",-1.34848484848485
"46",-1.31818181818182
"47",-1.53030303030303
"48",-1.5
"49",-1.37878787878788
"50",-1.40909090909091
"51",-1.74242424242424
"52",-1.71212121212121
"53",-1.46969696969697
"54",-1.34848484848485
"55",-1.59090909090909
"56",-1.53030303030303
"57",-1.77272727272727
"58",-1.10606060606061
"59",-1.22727272727273
"60",-1.37878787878788
"61",-1.40909090909091
"62",-1.86363636363636
"63",-1.53030303030303
"64",-1.16666666666667
"65",-1.56060606060606
"66",-1.43939393939394
"67",-1.53030303030303
"68",-1.37878787878788
"69",-1.28787878787879
"70",-1.65151515151515
"71",-1.53030303030303
"72",-1.71212121212121
"73",-1.5
"74",-1.34848484848485
"75",-1.62121212121212
"76",-1.40909090909091
"77",-1.53030303030303
"78",-1.40909090909091
"79",-1.37878787878788
"80",-1.31818181818182
"81",-1.28787878787879
"82",-1.34848484848485
"83",-1.53030303030303
"84",-1.65151515151515
"85",-1.22727272727273
"86",-1.59090909090909
"87",-1.37878787878788
"88",-1.46969696969697
"89",-1.46969696969697
"90",-1.56060606060606
"91",-1.46969696969697
"92",-1.46969696969697
"93",-1.34848484848485
"94",-1.53030303030303
"95",-1.62121212121212
"96",-1.28787878787879
"97",-1.28787878787879
"98",-1.56060606060606
"99",-1.28787878787879
"100",-1.28787878787879
"101",-1.1969696969697
"102",-1.77272727272727
"103",-1.31818181818182
"104",-1.13636363636364
"105",-1.40909090909091
"106",-1.37878787878788
"107",-1.56060606060606
"108",-1.53030303030303
"109",-1.31818181818182
"110",-1.46969696969697
"111",-2.10606060606061
"112",-1.5
"113",-1.68181818181818
"114",-1.34848484848485
"115",-1.34848484848485
"116",-1.22727272727273
"117",-1.98484848484848
"118",-1.37878787878788
"119",-1.28787878787879
"120",-1.68181818181818
"121",-1.5
"122",-1.40909090909091
"123",-1.56060606060606
"124",-1.71212121212121
"125",-1.83333333333333
"126",-1.53030303030303
"127",-1.46969696969697
"128",-1.83333333333333
"129",-1.74242424242424
"130",-1.37878787878788
"131",-1.53030303030303
"132",-1.46969696969697
"133",-1.31818181818182
"134",-1.62121212121212
"135",-1.37878787878788
"136",-1.40909090909091
"137",-1.53030303030303
"138",-1.56060606060606
"139",-1.46969696969697
"140",-1.31818181818182
"141",-1.43939393939394
"142",-1.43939393939394
"143",-1.74242424242424
"144",-1.31818181818182
"145",-1.46969696969697
"146",-1.40909090909091
"147",-1.56060606060606
"148",-1.1969696969697
"149",-1.65151515151515
"150",-1.1969696969697
"151",-1.59090909090909
"152",-1.8030303030303
"153",-1.53030303030303
"154",-1.53030303030303
"155",-1.56060606060606
"156",-1.40909090909091
"157",-1.56060606060606
"158",-1.34848484848485
"159",-1.74242424242424
"160",-1.53030303030303
"161",-1.25757575757576
"162",-1.59090909090909
"163",-1.46969696969697
"164",-1.46969696969697
"165",-1.37878787878788
"166",-1.16666666666667
"167",-1.77272727272727
"168",-1.1969696969697
"169",-1.37878787878788
"170",-1.92424242424242
"171",-1.22727272727273
"172",-1.65151515151515
"173",-1.25757575757576
"174",-1.71212121212121
"175",-1.68181818181818
"176",-1.74242424242424
"177",-1.56060606060606
"178",-1.40909090909091
"179",-1.62121212121212
"180",-1.62121212121212
"181",-1.43939393939394
"182",-1.25757575757576
"183",-1.5
"184",-1.37878787878788
"185",-1.31818181818182
"186",-1.65151515151515
"187",-1.56060606060606
"188",-1.34848484848485
"189",-1.77272727272727
"190",-1.71212121212121
"191",-1.56060606060606
"192",-1.37878787878788
"193",-1.8030303030303
"194",-1.34848484848485
"195",-1.62121212121212
"196",-1.40909090909091
"197",-1.40909090909091
"198",-1.43939393939394
"199",-1.65151515151515
"200",-1.56060606060606
"201",-1.56060606060606
"202",-1.46969696969697
"203",-1.65151515151515
"204",-1.65151515151515
"205",-1.40909090909091
"206",-1.53030303030303
"207",-1.74242424242424
"208",-1.56060606060606
"209",-1.34848484848485
