"","x"
"1",-2
"2",-2.1
"3",-2
"4",-1.85
"5",-1.95
"6",-2.05
"7",-2.25
"8",-1.9
"9",-2.1
"10",-2.4
"11",-2.15
"12",-1.85
"13",-3
"14",-1.95
"15",-2.05
"16",-1.85
"17",-1.55
"18",-1.75
"19",-1.7
"20",-2.2
"21",-2.1
"22",-1.45
"23",-1.65
"24",-1.9
"25",-2.4
"26",-2.5
"27",-1.7
"28",-2.4
"29",-1.95
"30",-1.85
"31",-2.2
"32",-1.9
"33",-1.9
"34",-2.25
"35",-1.55
"36",-2.2
"37",-2.5
"38",-1.85
"39",-1.7
"40",-2.35
"41",-2.3
"42",-1.75
"43",-2.2
"44",-1.75
"45",-2.1
"46",-1.8
"47",-1.9
"48",-2.15
"49",-2.15
"50",-2.55
"51",-2.35
"52",-2.1
"53",-1.95
"54",-3.15
"55",-1.6
"56",-3.05
"57",-1.9
"58",-1.85
"59",-1.8
"60",-1.4
"61",-1.8
"62",-2.15
"63",-2.3
"64",-2.1
"65",-1.95
"66",-1.8
"67",-3.1
"68",-2.25
"69",-2.15
"70",-1.75
"71",-1.85
"72",-1.85
"73",-1.85
"74",-2.45
"75",-1.75
"76",-2.05
"77",-2.15
"78",-2
"79",-1.65
"80",-2.2
"81",-1.6
"82",-1.7
"83",-3.05
"84",-2.15
"85",-2.95
"86",-2.5
"87",-2.7
"88",-1.6
"89",-1.8
"90",-2.75
"91",-2.5
"92",-1.9
"93",-2.35
"94",-1.95
"95",-1.75
"96",-2.4
"97",-2.45
"98",-1.55
"99",-1.75
"100",-1.8
"101",-2.2
"102",-2.3
"103",-2.3
"104",-2.8
"105",-1.95
"106",-1.85
"107",-1.8
"108",-1.85
"109",-1.85
"110",-2.15
"111",-1.75
"112",-1.95
"113",-2.35
"114",-2.25
"115",-2.45
"116",-2.6
"117",-1.65
"118",-2.2
"119",-2.25
"120",-2.55
"121",-2.2
"122",-1.9
"123",-1.85
"124",-2.1
"125",-1.9
"126",-2.05
"127",-2.35
"128",-2.1
"129",-2.2
"130",-2.5
"131",-1.75
"132",-1.75
"133",-1.8
"134",-1.95
"135",-1.7
"136",-2.15
"137",-1.7
"138",-2.1
"139",-3.05
"140",-2.3
"141",-2.35
"142",-2.05
"143",-1.95
"144",-1.8
"145",-2.25
"146",-1.95
"147",-1.35
"148",-2.4
"149",-2.1
"150",-2.6
"151",-2.65
"152",-2.15
"153",-1.75
"154",-1.75
"155",-1.8
"156",-2.1
"157",-1.65
"158",-2.05
"159",-2.35
"160",-1.7
"161",-1.85
"162",-1.8
"163",-1.75
"164",-1.85
"165",-1.95
"166",-3.2
"167",-1.9
"168",-2.05
"169",-1.95
"170",-2.4
"171",-2.15
"172",-2.1
"173",-2.2
"174",-2.25
"175",-3.05
"176",-1.85
"177",-1.9
"178",-1.65
"179",-1.5
"180",-2.25
"181",-2.15
"182",-3.5
"183",-2.4
"184",-1.6
"185",-1.75
"186",-2.25
"187",-1.7
"188",-1.85
"189",-2.1
"190",-2.05
"191",-2.3
"192",-2
"193",-1.95
"194",-1.8
"195",-1.8
"196",-1.95
"197",-1.9
"198",-1.75
"199",-2.25
"200",-2.05
"201",-1.4
"202",-1.85
"203",-2.3
"204",-2.65
"205",-1.85
"206",-2
"207",-1.9
"208",-2.15
"209",-2.1
"210",-2
"211",-2.3
"212",-1.95
"213",-1.95
"214",-1.9
"215",-1.7
"216",-2.15
"217",-1.75
"218",-2.75
"219",-2.15
"220",-2.6
"221",-1.7
"222",-1.85
"223",-1.85
"224",-1.9
"225",-2.15
"226",-1.8
"227",-1.9
"228",-2.35
"229",-1.5
"230",-1.85
"231",-2.05
"232",-1.85
"233",-2.3
"234",-1.7
"235",-1.65
"236",-2.2
"237",-2.8
"238",-1.45
"239",-2.1
"240",-2.05
"241",-2.1
"242",-1.8
"243",-1.45
"244",-1.75
"245",-1.85
"246",-2.6
"247",-1.55
"248",-1.85
"249",-2.05
"250",-2.5
"251",-1.6
"252",-1.8
"253",-1.8
"254",-1.6
"255",-2.3
"256",-1.5
"257",-1.75
"258",-1.85
"259",-1.55
"260",-1.75
"261",-2.25
"262",-1.65
"263",-2.75
"264",-2.15
"265",-1.85
"266",-2
"267",-1.8
"268",-1.55
"269",-2.2
"270",-1.9
"271",-1.95
"272",-1.75
"273",-1.5
"274",-2
"275",-2.45
"276",-1.95
"277",-1.6
"278",-1.45
"279",-2.45
"280",-3.2
"281",-1.75
"282",-1.75
"283",-1.85
"284",-2.05
"285",-2.4
"286",-2
"287",-1.65
"288",-2.85
"289",-2.15
"290",-2.05
"291",-2.65
"292",-2.1
"293",-1.85
"294",-2.25
"295",-2.7
"296",-2.25
"297",-1.75
"298",-2.65
"299",-1.9
"300",-1.95
"301",-1.8
"302",-1.95
"303",-1.6
"304",-2.4
"305",-1.8
"306",-1.9
"307",-2.1
"308",-2.15
"309",-2.25
"310",-1.8
"311",-2.05
"312",-2.2
"313",-1.95
"314",-1.7
"315",-2.5
"316",-1.8
"317",-2.05
"318",-2.55
"319",-2
"320",-1.8
"321",-3.1
"322",-1.95
"323",-2
"324",-2.2
"325",-2.1
"326",-1.85
"327",-2.05
"328",-4
"329",-2.85
"330",-2
"331",-1.6
"332",-2.25
"333",-1.8
"334",-2.3
"335",-2.1
"336",-2
"337",-2.2
"338",-2.5
"339",-1.95
"340",-1.95
"341",-2.7
"342",-2.1
"343",-1.85
"344",-2.15
"345",-2.2
"346",-3.3
"347",-1.65
"348",-1.65
"349",-2.1
"350",-1.8
"351",-2.05
"352",-2.1
"353",-1.85
"354",-1.55
"355",-1.6
"356",-2
"357",-1.85
"358",-2.5
"359",-1.8
"360",-1.85
"361",-1.85
"362",-1.8
"363",-1.8
"364",-2.45
"365",-1.9
"366",-3.45
"367",-2.35
"368",-1.95
"369",-2.3
"370",-1.8
"371",-2.9
"372",-2.3
"373",-1.75
"374",-2
"375",-1.9
"376",-2.6
"377",-1.75
"378",-1.8
"379",-1.95
"380",-2.35
"381",-1.75
"382",-2.3
"383",-1.9
"384",-2.05
"385",-2.1
"386",-2.1
"387",-1.75
"388",-1.75
"389",-1.7
"390",-2.05
"391",-2.25
"392",-2.55
"393",-1.8
"394",-2.1
"395",-1.95
"396",-2.1
"397",-2.35
"398",-2.25
"399",-1.85
"400",-2.6
"401",-2.15
"402",-1.65
"403",-1.75
"404",-1.6
"405",-2.15
"406",-2.6
"407",-1.95
"408",-1.8
"409",-2.35
"410",-3
"411",-1.7
"412",-2.3
"413",-2.2
"414",-2.05
"415",-1.8
"416",-2.25
"417",-2.25
"418",-1.75
"419",-2.5
"420",-2.05
"421",-1.65
"422",-2.8
"423",-1.85
"424",-2.3
"425",-2.05
"426",-1.6
"427",-2.05
"428",-1.85
"429",-2.05
"430",-2.25
"431",-1.9
"432",-1.9
"433",-1.85
"434",-1.85
"435",-1.9
"436",-2.15
"437",-2.05
"438",-2.05
"439",-1.75
"440",-1.8
"441",-1.9
"442",-2.25
"443",-1.95
"444",-1.65
"445",-1.85
"446",-1.8
"447",-1.75
"448",-1.9
"449",-2.15
"450",-1.85
"451",-2.15
"452",-1.35
"453",-1.9
"454",-1.65
"455",-1.75
"456",-3.1
"457",-1.85
"458",-1.65
"459",-2
"460",-1.5
"461",-1.8
"462",-1.7
"463",-1.85
"464",-1.95
"465",-2.4
"466",-1.65
"467",-2.15
"468",-2
"469",-2
"470",-2.15
"471",-2.05
"472",-2.2
"473",-1.9
"474",-1.75
"475",-2.4
"476",-1.85
"477",-1.95
"478",-1.8
"479",-1.95
"480",-2.4
"481",-2
"482",-2.1
"483",-1.75
"484",-2.05
"485",-2.15
"486",-2
"487",-2.15
"488",-2.45
"489",-1.95
"490",-2.25
"491",-1.65
"492",-2.35
"493",-3.1
"494",-2.25
"495",-1.95
"496",-1.9
"497",-2.4
"498",-1.9
"499",-1.9
"500",-2.25
"501",-2.1
"502",-1.95
"503",-2.15
"504",-2.25
"505",-1.8
"506",-2.1
"507",-1.9
"508",-2.3
"509",-2.55
"510",-1.85
"511",-2
"512",-1.75
"513",-1.55
"514",-1.8
"515",-2.2
"516",-1.85
"517",-2.15
"518",-2.1
"519",-1.65
"520",-2.15
"521",-1.7
"522",-2.7
"523",-1.65
"524",-2
"525",-1.85
"526",-2.15
"527",-1.6
"528",-1.5
"529",-2.25
"530",-1.9
"531",-1.55
"532",-2.05
"533",-2.65
"534",-1.75
"535",-1.65
"536",-1.9
"537",-1.85
"538",-2
"539",-1.7
"540",-2.25
"541",-1.65
"542",-1.85
"543",-1.9
"544",-2
"545",-1.7
"546",-1.95
"547",-1.9
"548",-1.85
"549",-2.4
"550",-1.75
"551",-1.7
"552",-1.75
"553",-1.55
"554",-1.8
"555",-1.7
"556",-1.8
"557",-1.85
"558",-1.95
"559",-1.9
"560",-2
"561",-1.65
"562",-1.85
"563",-1.65
"564",-1.9
"565",-2.15
"566",-2.35
"567",-1.6
"568",-2.25
"569",-2.85
"570",-2.95
"571",-2.35
"572",-2.6
"573",-2.4
"574",-1.6
"575",-1.95
"576",-2.45
"577",-2
"578",-1.75
"579",-3.65
"580",-2.4
"581",-1.55
"582",-1.9
"583",-2.05
"584",-2.75
"585",-2.5
"586",-2.65
"587",-2
"588",-1.9
"589",-2
"590",-1.8
"591",-1.8
"592",-2
"593",-1.95
"594",-1.8
"595",-1.95
"596",-1.75
"597",-2.15
"598",-2.15
"599",-1.9
