"","x"
"1",-1.94444444444444
"2",-2.03535353535354
"3",-1.52020202020202
"4",-2.1969696969697
"5",-1.97474747474747
"6",-2.5
"7",-2.02525252525253
"8",-1.91414141414141
"9",-2.26767676767677
"10",-1.67171717171717
"11",-1.85353535353535
"12",-1.92424242424242
"13",-2.17676767676768
"14",-1.64141414141414
"15",-1.93434343434343
"16",-1.58080808080808
"17",-1.83333333333333
"18",-2.17676767676768
"19",-1.68181818181818
"20",-2.40909090909091
"21",-1.75252525252525
"22",-1.92424242424242
"23",-1.9040404040404
"24",-2.5
"25",-2.5
"26",-1.67171717171717
"27",-1.66161616161616
"28",-2.37878787878788
"29",-1.89393939393939
"30",-1.81313131313131
"31",-1.69191919191919
"32",-2.34848484848485
"33",-2.11616161616162
"34",-1.97474747474747
"35",-2.48989898989899
"36",-1.9040404040404
"37",-2.17676767676768
"38",-1.96464646464646
"39",-1.95454545454545
"40",-1.96464646464646
"41",-1.84343434343434
"42",-2.3989898989899
"43",-2.30808080808081
"44",-2.35858585858586
"45",-2.00505050505051
"46",-1.7020202020202
"47",-2.5
"48",-2.02525252525253
"49",-1.78282828282828
"50",-2.33838383838384
"51",-1.75252525252525
"52",-1.89393939393939
"53",-2.18686868686869
"54",-1.9040404040404
"55",-2.5
"56",-1.82323232323232
"57",-1.78282828282828
"58",-1.75252525252525
"59",-1.76262626262626
"60",-2.5
"61",-1.63131313131313
"62",-1.73232323232323
"63",-1.5
"64",-1.95454545454545
"65",-2.26767676767677
"66",-1.69191919191919
"67",-2.18686868686869
"68",-2.0959595959596
"69",-1.54040404040404
"70",-1.86363636363636
"71",-1.77272727272727
"72",-1.93434343434343
"73",-2.03535353535354
"74",-1.83333333333333
"75",-2.03535353535354
"76",-2.01515151515152
"77",-1.76262626262626
"78",-1.71212121212121
"79",-2.28787878787879
"80",-1.99494949494949
"81",-2.22727272727273
"82",-1.7020202020202
"83",-2.01515151515152
"84",-2.17676767676768
"85",-2.5
"86",-2.08585858585859
"87",-1.64141414141414
"88",-2.21717171717172
"89",-2.5
"90",-1.93434343434343
