"","x"
"1",-1.95
"2",-2.05
"3",-2
"4",-2.5
"5",-1.9
"6",-1.9
"7",-1.85
"8",-2.15
"9",-1.9
"10",-2.15
"11",-2.2
"12",-4
"13",-1.85
"14",-1.65
"15",-1.95
"16",-2.2
"17",-1.8
"18",-2
"19",-2.25
"20",-1.75
"21",-1.75
"22",-2
"23",-1.95
"24",-2.45
"25",-2.15
"26",-1.6
"27",-1.5
"28",-2.35
"29",-2.25
"30",-2.25
"31",-1.7
"32",-2.4
"33",-1.95
"34",-1.95
"35",-1.5
"36",-1.45
"37",-1.85
"38",-1.9
"39",-2.1
"40",-1.9
"41",-2.4
"42",-1.85
"43",-1.7
"44",-1.7
"45",-2.95
"46",-1.85
"47",-2.2
"48",-2.3
"49",-1.8
"50",-2
"51",-1.85
"52",-2.3
"53",-1.95
"54",-2
"55",-1.8
"56",-2.1
"57",-2.4
"58",-1.9
"59",-2.2
"60",-1.7
"61",-1.8
"62",-1.9
"63",-1.9
"64",-2.4
"65",-1.5
"66",-2
"67",-1.75
"68",-1.9
"69",-1.8
"70",-2.2
"71",-1.95
"72",-1.9
"73",-1.9
"74",-1.65
"75",-1.95
"76",-1.75
"77",-2.55
"78",-2.15
"79",-1.8
"80",-2.4
"81",-2.6
"82",-1.5
"83",-1.85
"84",-2.05
"85",-1.75
"86",-1.85
"87",-2.35
"88",-1.85
"89",-1.7
"90",-1.95
"91",-2.15
"92",-2
"93",-2.5
"94",-2.8
"95",-1.8
"96",-1.85
"97",-2.15
"98",-1.75
"99",-1.65
"100",-2
"101",-2
"102",-2.35
"103",-1.8
"104",-2.15
"105",-2.7
"106",-2.05
"107",-1.65
"108",-1.85
"109",-2.25
"110",-1.7
"111",-1.95
"112",-2.05
"113",-1.85
"114",-1.95
"115",-1.9
"116",-2.05
"117",-2.1
"118",-1.45
"119",-1.85
"120",-2.25
"121",-1.8
"122",-2.25
"123",-2.2
"124",-1.4
"125",-2.1
"126",-1.75
"127",-2.15
"128",-2
"129",-1.7
"130",-2.15
"131",-2.65
"132",-2.3
"133",-2.05
"134",-1.8
"135",-2.2
"136",-2.45
"137",-1.95
"138",-2.4
"139",-1.7
"140",-2.4
"141",-2.15
"142",-1.85
"143",-1.8
"144",-2.2
"145",-3.65
"146",-1.65
"147",-2.2
"148",-2
"149",-1.95
"150",-1.7
"151",-1.65
"152",-1.75
"153",-1.85
"154",-1.9
"155",-2.15
"156",-2.25
"157",-1.95
"158",-2.3
"159",-1.95
"160",-2.6
"161",-1.95
"162",-1.9
"163",-1.85
"164",-2.3
"165",-1.95
"166",-2
"167",-1.8
"168",-1.95
"169",-2.55
"170",-1.95
"171",-1.8
"172",-1.9
"173",-2.35
"174",-1.75
"175",-3
"176",-1.85
"177",-2.1
"178",-1.8
"179",-1.85
"180",-2.1
"181",-1.9
"182",-2.05
"183",-1.8
"184",-1.95
"185",-2.05
"186",-1.85
"187",-3.25
"188",-1.75
"189",-2.05
"190",-1.8
"191",-2.25
"192",-1.65
"193",-1.75
"194",-1.75
"195",-2.35
"196",-2.1
"197",-2
"198",-2.15
"199",-1.85
"200",-1.75
"201",-2.05
"202",-2.05
"203",-2.2
"204",-2.75
"205",-1.6
"206",-2.3
"207",-1.9
"208",-1.7
"209",-1.6
"210",-2.6
"211",-2
"212",-2.2
"213",-2.3
"214",-3.55
"215",-2.05
"216",-1.85
"217",-2.3
"218",-1.9
"219",-2.3
"220",-1.8
"221",-1.4
"222",-2.2
"223",-2.15
"224",-2.05
"225",-1.95
"226",-1.7
"227",-1.75
"228",-2.05
"229",-2.35
"230",-2.35
"231",-2.6
"232",-1.9
"233",-2
"234",-1.85
"235",-2.4
"236",-2.05
"237",-1.75
"238",-2.4
"239",-1.95
"240",-1.85
"241",-2
"242",-3
"243",-1.8
"244",-2
"245",-2.35
"246",-2.05
"247",-1.7
"248",-2.95
"249",-1.75
"250",-2.05
"251",-2.2
"252",-1.5
"253",-1.95
"254",-1.95
"255",-1.45
"256",-1.95
"257",-1.75
"258",-1.9
"259",-2.2
"260",-2.3
"261",-1.9
"262",-2.35
"263",-1.7
"264",-1.75
"265",-2
"266",-1.75
"267",-1.8
"268",-2.05
"269",-2.35
"270",-1.85
"271",-2.35
"272",-2
"273",-2.9
"274",-1.7
"275",-2.45
"276",-1.8
"277",-2.4
"278",-1.7
"279",-3.1
"280",-2.05
"281",-2.15
"282",-2.8
"283",-1.95
"284",-1.65
"285",-2.2
"286",-2.05
"287",-1.8
"288",-2.25
"289",-1.9
"290",-1.65
"291",-1.95
"292",-1.65
"293",-2.3
"294",-2.4
"295",-2.35
"296",-1.95
"297",-1.5
"298",-2.25
"299",-2
"300",-1.95
"301",-1.7
"302",-1.75
"303",-2.15
"304",-2.1
"305",-2.05
"306",-2.25
"307",-2.4
"308",-1.9
"309",-2.1
"310",-1.8
"311",-2.8
"312",-2.1
"313",-3.55
"314",-1.85
"315",-1.5
"316",-1.55
"317",-2.9
"318",-1.9
"319",-1.95
"320",-1.85
"321",-2.35
"322",-2.05
"323",-1.9
"324",-1.75
"325",-2.05
"326",-2.4
"327",-2.25
"328",-2
"329",-1.8
"330",-1.95
"331",-2.1
"332",-2.2
"333",-1.8
"334",-2.1
"335",-1.6
"336",-1.65
"337",-2.25
"338",-1.85
"339",-1.7
"340",-1.9
"341",-2
"342",-2.3
"343",-2.05
"344",-1.4
"345",-1.85
"346",-1.8
"347",-1.9
"348",-2.2
"349",-2.05
"350",-2.55
"351",-2.2
"352",-1.85
"353",-1.55
"354",-2.1
"355",-2.55
"356",-2.15
"357",-1.7
"358",-1.8
"359",-1.85
"360",-2.15
"361",-2.1
"362",-1.9
"363",-2.35
"364",-2.15
"365",-1.85
"366",-2.1
"367",-2
"368",-1.75
"369",-1.7
"370",-3.5
"371",-2.15
"372",-3.45
"373",-2.15
"374",-1.95
"375",-1.65
"376",-2.3
"377",-1.95
"378",-1.75
"379",-2.15
"380",-2.3
"381",-1.7
"382",-2.45
"383",-2.15
"384",-2.15
"385",-1.6
"386",-2.05
"387",-2.15
"388",-1.7
"389",-2.6
"390",-1.95
"391",-1.6
"392",-1.8
"393",-1.8
"394",-2.05
"395",-2.35
"396",-2.65
"397",-2.05
"398",-2.4
"399",-2.2
"400",-1.65
"401",-2
"402",-2.65
"403",-1.8
"404",-2.35
"405",-1.35
"406",-1.95
"407",-2.9
"408",-1.8
"409",-1.75
"410",-1.75
"411",-2.4
"412",-2
"413",-2.05
"414",-1.95
"415",-1.45
"416",-2.1
"417",-2.45
"418",-2
"419",-1.95
"420",-2.4
"421",-2.65
"422",-1.9
"423",-1.7
"424",-2.55
"425",-1.85
"426",-2.55
"427",-2.65
"428",-1.85
"429",-2.05
"430",-2.2
"431",-1.65
"432",-1.95
"433",-2.95
"434",-2
"435",-2.45
"436",-1.6
"437",-2.2
"438",-2.25
"439",-2.8
"440",-1.5
"441",-2.35
"442",-1.85
"443",-2.2
"444",-1.7
"445",-2.15
"446",-1.4
"447",-2.4
"448",-2.1
"449",-1.95
"450",-2.15
"451",-1.9
"452",-1.55
"453",-2.15
"454",-1.9
"455",-1.9
"456",-1.9
"457",-2.8
"458",-2.25
"459",-1.7
"460",-2.1
"461",-1.9
"462",-2.2
"463",-2.3
"464",-2.25
"465",-1.8
"466",-2.1
"467",-1.75
"468",-2.15
"469",-2.35
"470",-2
"471",-1.75
"472",-2
"473",-2.35
"474",-1.75
"475",-2.15
"476",-2.15
"477",-2.1
"478",-2.25
"479",-1.9
"480",-1.75
"481",-1.75
"482",-2.55
"483",-2.25
"484",-1.85
"485",-2.3
"486",-1.7
"487",-2.2
"488",-2.1
"489",-3.05
"490",-2.1
"491",-2.05
"492",-2.05
"493",-2.05
"494",-1.8
"495",-1.9
"496",-1.95
"497",-1.85
"498",-2.05
"499",-1.85
"500",-1.85
"501",-1.55
"502",-2.15
"503",-2.15
"504",-1.95
"505",-2.55
"506",-2.25
"507",-2.05
"508",-2.05
"509",-1.8
"510",-1.7
"511",-2.2
"512",-1.7
"513",-2.05
"514",-2.1
"515",-2.45
"516",-1.75
"517",-2
"518",-1.95
"519",-1.95
"520",-1.8
"521",-2.35
"522",-1.95
"523",-2.15
"524",-1.9
"525",-1.55
"526",-1.8
"527",-1.65
"528",-1.7
"529",-1.85
"530",-1.8
"531",-1.5
"532",-2.25
"533",-1.85
"534",-1.6
"535",-1.7
"536",-2.1
"537",-2.3
"538",-1.7
"539",-1.6
"540",-2.5
"541",-1.65
"542",-2.25
"543",-2.2
"544",-2.15
"545",-1.5
"546",-2.15
"547",-2.4
"548",-2.65
"549",-2.3
"550",-4
"551",-2.6
"552",-1.9
"553",-2.2
"554",-1.7
"555",-2.75
"556",-1.85
"557",-2.15
"558",-1.75
"559",-1.75
"560",-1.85
"561",-1.7
"562",-2.45
"563",-1.85
"564",-1.9
"565",-2.4
"566",-2
"567",-1.6
"568",-1.95
"569",-1.8
"570",-2.05
"571",-1.9
"572",-1.65
"573",-1.75
"574",-2
"575",-3.5
"576",-1.55
"577",-2.2
"578",-2.4
"579",-1.7
"580",-1.6
"581",-3.4
"582",-2.65
"583",-2.5
"584",-2.45
"585",-1.85
"586",-1.6
"587",-1.55
"588",-2.25
"589",-2.75
"590",-2.05
"591",-2.05
"592",-1.85
"593",-2.05
"594",-2.3
"595",-2.05
"596",-1.9
"597",-1.85
"598",-2.15
"599",-2.25
"600",-1.95
"601",-2.45
"602",-1.85
"603",-2.1
"604",-1.8
"605",-1.6
"606",-2.1
"607",-2.75
"608",-2.95
"609",-2.35
"610",-2.35
"611",-2
"612",-1.7
"613",-2.1
"614",-2.1
"615",-2.05
"616",-2.2
"617",-1.85
"618",-1.5
"619",-1.7
"620",-2.15
"621",-1.7
"622",-2.3
"623",-1.75
"624",-2.25
"625",-1.9
"626",-1.95
"627",-1.85
"628",-1.65
"629",-2.6
"630",-2.15
"631",-1.7
"632",-2.8
"633",-1.75
"634",-2.7
"635",-2.1
"636",-2.05
"637",-2.6
"638",-1.85
"639",-1.85
"640",-2.2
"641",-2.85
"642",-2.85
"643",-1.75
"644",-2.05
"645",-1.9
"646",-2.2
"647",-1.7
"648",-1.95
"649",-1.8
"650",-1.85
"651",-2
"652",-1.8
"653",-2.05
"654",-1.85
"655",-2.2
"656",-2
"657",-2.65
"658",-2.1
"659",-2.3
"660",-1.85
"661",-1.5
"662",-1.85
"663",-1.4
"664",-1.6
"665",-2.2
"666",-1.75
"667",-1.75
"668",-2.15
"669",-1.9
"670",-1.75
"671",-2.2
"672",-2.1
"673",-2.4
"674",-2.65
"675",-1.95
"676",-1.9
"677",-1.9
"678",-2.1
"679",-2.1
"680",-1.75
"681",-1.75
"682",-3
"683",-1.75
"684",-2.5
"685",-1.8
"686",-2.2
"687",-2
"688",-1.65
"689",-2.2
"690",-1.8
"691",-1.6
"692",-1.4
"693",-1.8
"694",-2
"695",-1.85
"696",-2.25
"697",-1.7
"698",-2.25
"699",-2.45
"700",-3.05
"701",-2.1
"702",-1.85
"703",-2.25
"704",-2.35
"705",-2.8
"706",-2
"707",-2.15
"708",-1.45
"709",-1.75
"710",-1.9
"711",-2.8
"712",-1.8
"713",-1.65
"714",-1.85
"715",-2.15
"716",-2.2
"717",-2.55
"718",-2.2
"719",-1.8
"720",-1.95
"721",-1.5
"722",-2.5
"723",-2.2
"724",-2.05
"725",-2.15
"726",-1.6
"727",-2.75
"728",-1.45
"729",-1.9
"730",-2.7
"731",-2.2
"732",-1.8
"733",-1.65
"734",-3.25
"735",-2.3
"736",-2.25
"737",-1.65
"738",-1.6
"739",-2.05
"740",-1.95
"741",-1.65
"742",-2
"743",-2.05
"744",-3.3
"745",-1.75
"746",-1.95
"747",-1.75
"748",-1.85
"749",-1.7
"750",-2.55
"751",-2.1
"752",-1.85
"753",-1.9
"754",-1.65
"755",-2.05
"756",-1.65
"757",-2
"758",-1.65
"759",-2
"760",-2.45
"761",-2.2
"762",-2.3
"763",-2.15
"764",-1.8
"765",-1.7
"766",-2.35
"767",-2.05
"768",-2
"769",-2.5
"770",-1.75
"771",-1.8
"772",-1.8
"773",-2.2
"774",-2.5
"775",-1.8
"776",-1.95
"777",-2.1
"778",-2.85
"779",-2.1
"780",-1.85
"781",-2.15
"782",-2.2
"783",-2.05
"784",-1.8
"785",-1.9
"786",-1.95
"787",-1.6
"788",-2.2
"789",-2.15
"790",-2
"791",-1.95
"792",-2.25
"793",-1.85
"794",-1.95
"795",-2.05
"796",-2.15
"797",-1.9
"798",-1.9
"799",-1.85
"800",-2
"801",-1.75
"802",-1.8
"803",-1.55
"804",-1.85
"805",-2.2
"806",-2.2
"807",-2.05
"808",-1.6
"809",-1.6
"810",-2
"811",-3
"812",-1.95
"813",-2.3
"814",-1.55
"815",-2.1
"816",-3.65
"817",-2.4
"818",-1.95
"819",-2.25
"820",-2.85
"821",-1.95
"822",-2.55
"823",-2.55
"824",-1.9
"825",-1.95
"826",-1.9
"827",-2.2
"828",-2
"829",-2.15
"830",-2.5
"831",-2.35
"832",-1.6
"833",-2.2
"834",-2.2
"835",-2.05
"836",-2.45
"837",-1.9
"838",-2.5
"839",-1.6
"840",-1.85
"841",-2.1
"842",-1.85
"843",-2.5
"844",-1.7
"845",-1.7
"846",-1.95
"847",-1.75
"848",-1.85
"849",-2.4
"850",-1.6
"851",-2.5
"852",-1.9
"853",-2.3
"854",-1.95
"855",-2
"856",-1.45
"857",-2.05
"858",-1.8
"859",-1.75
"860",-2
"861",-2.2
"862",-2.55
"863",-2.2
"864",-1.6
"865",-2.15
"866",-3
"867",-2.15
"868",-2.05
"869",-1.85
"870",-1.75
"871",-1.95
"872",-2.2
"873",-2.1
"874",-1.8
"875",-2.05
"876",-1.85
"877",-2.7
"878",-1.55
"879",-2.15
"880",-3.1
"881",-2.35
"882",-2.55
"883",-2.1
"884",-2.1
"885",-2
"886",-1.95
"887",-2.35
"888",-1.65
"889",-1.85
"890",-3.1
"891",-2.2
"892",-2.25
"893",-1.55
"894",-1.75
"895",-1.65
"896",-2.55
"897",-2.15
"898",-2
"899",-2.55
"900",-2
"901",-3.25
"902",-2
"903",-1.8
"904",-2.05
"905",-2.3
"906",-2.35
"907",-2.95
"908",-2.15
"909",-2.45
"910",-2.25
"911",-1.95
"912",-1.5
"913",-2.1
"914",-1.85
"915",-2.6
"916",-2.4
"917",-2.1
"918",-3.3
"919",-2
"920",-1.65
"921",-1.85
"922",-1.95
"923",-1.8
"924",-2.45
"925",-2.7
"926",-1.8
"927",-1.9
"928",-1.95
"929",-1.35
"930",-2.1
"931",-1.8
"932",-1.95
"933",-2.15
"934",-1.9
"935",-1.9
"936",-1.9
"937",-2.7
"938",-2.1
"939",-1.85
"940",-1.9
"941",-2.15
"942",-2.5
"943",-2.15
"944",-1.95
"945",-2.25
"946",-1.6
"947",-2.4
"948",-2.3
"949",-1.9
"950",-1.9
"951",-1.75
"952",-2.05
"953",-1.85
"954",-2
"955",-2.05
"956",-2.3
"957",-1.6
"958",-3.05
"959",-2.5
"960",-1.9
"961",-1.7
"962",-2.2
"963",-1.75
"964",-2.2
"965",-1.95
"966",-2.2
"967",-2.15
"968",-2
"969",-1.8
"970",-2.15
"971",-1.9
"972",-1.8
"973",-2.2
"974",-2.45
"975",-1.95
"976",-1.5
"977",-1.9
"978",-1.95
"979",-2.4
"980",-1.7
"981",-1.95
"982",-2.25
"983",-2.4
"984",-2.05
"985",-1.95
"986",-2.05
"987",-2.2
"988",-1.85
"989",-1.85
"990",-1.85
"991",-1.85
"992",-1.95
"993",-2.1
"994",-2.45
"995",-2.25
"996",-2.05
"997",-1.9
"998",-2.05
"999",-1.95
"1000",-1.95
