"","x"
"1",-1.55
"2",-2.15
"3",-2.15
"4",-2.55
"5",-1.8
"6",-1.85
"7",-1.9
"8",-2.3
"9",-1.95
"10",-2.15
"11",-2.45
"12",-2.05
"13",-1.75
"14",-1.65
"15",-1.95
"16",-2.5
"17",-1.75
"18",-2.15
"19",-1.85
"20",-1.85
"21",-1.9
"22",-1.75
"23",-1.95
"24",-2.45
"25",-2.15
"26",-1.6
"27",-1.4
"28",-2.1
"29",-2.5
"30",-2.15
"31",-1.8
"32",-2.5
"33",-1.95
"34",-2
"35",-1.55
"36",-2.15
"37",-1.9
"38",-1.85
"39",-2.2
"40",-1.9
"41",-1.85
"42",-1.8
"43",-1.75
"44",-1.85
"45",-2.05
"46",-1.75
"47",-2.1
"48",-2.2
"49",-1.85
"50",-2
"51",-1.85
"52",-2.2
"53",-1.85
"54",-2
"55",-1.95
"56",-2.1
"57",-2.1
"58",-1.9
"59",-1.7
"60",-1.6
"61",-1.8
"62",-1.9
"63",-1.9
"64",-2.15
"65",-2.15
"66",-1.95
"67",-1.7
"68",-1.9
"69",-2.3
"70",-2.1
"71",-1.8
"72",-1.9
"73",-1.65
"74",-1.8
"75",-2
"76",-1.8
"77",-3.05
"78",-2.15
"79",-1.9
"80",-2.3
"81",-2.25
"82",-1.55
"83",-1.8
"84",-2.05
"85",-1.8
"86",-1.6
"87",-2.35
"88",-1.9
"89",-1.85
"90",-1.85
"91",-2.1
"92",-2
"93",-1.65
"94",-2.25
"95",-1.9
"96",-1.9
"97",-2.25
"98",-1.65
"99",-1.7
"100",-2.05
"101",-1.95
"102",-2.05
"103",-2.1
"104",-1.75
"105",-3.55
"106",-1.9
"107",-1.75
"108",-1.85
"109",-2.05
"110",-1.75
"111",-1.85
"112",-2.45
"113",-1.85
"114",-1.85
"115",-2.2
"116",-2.25
"117",-2.2
"118",-1.5
"119",-1.85
"120",-2.2
"121",-1.8
"122",-2
"123",-1.95
"124",-1.4
"125",-2.05
"126",-1.7
"127",-2.1
"128",-2.3
"129",-1.8
"130",-2
"131",-2.65
"132",-1.95
"133",-1.95
"134",-1.75
"135",-2.2
"136",-2.25
"137",-1.7
"138",-2.4
"139",-1.8
"140",-2.4
"141",-1.75
"142",-1.95
"143",-1.75
"144",-1.85
"145",-2.35
"146",-1.6
