"","x"
"1",-1.84797400062188
"2",-2.19807456888278
"3",-1.97483063720605
"4",-2.39036082874393
"5",-1.96828680687808
"6",-1.84970058856179
"7",-1.75818290987058
"8",-2.29357055540734
"9",-2.0180304933979
"10",-2.34906980654164
"11",-2.14566570325223
"12",-2.11640264644418
"13",-1.72243785084387
"14",-1.63597766892695
"15",-1.91329781550887
"16",-2.28022998856585
"17",-1.86225180305161
"18",-2.07728771417024
"19",-2.25859524710418
"20",-1.74650014054513
"21",-1.85251236789899
"22",-1.93806678580166
"23",-2.04020056778693
"24",-2.0798152903422
"25",-2.25659318338807
"26",-1.45435028162348
"27",-1.49828274833741
"28",-2.30891428553912
"29",-2.36010712662573
"30",-2.29568003908175
"31",-1.94262810865229
"32",-2.95705534854128
"33",-1.98821888933045
"34",-2.09800256023958
"35",-1.60244182782015
"36",-1.62579695568935
"37",-1.93027814724748
"38",-1.89664306573111
"39",-2.19292548098554
"40",-1.9988545210569
"41",-1.97044234606506
"42",-1.81913058001772
"43",-1.68368846358678
"44",-1.84521087396507
"45",-2.42611996291464
"46",-1.97606739722224
"47",-1.82467589121784
"48",-2.47518662823386
"49",-2.02471422968448
"50",-1.97981386685056
"51",-1.873882825028
"52",-2.50918335382977
"53",-1.88478910309061
"54",-2.09950473926506
"55",-1.77700457245972
"56",-2.07735275871986
"57",-2.26083276052435
"58",-1.83104376457071
"59",-1.91820175637791
"60",-1.65580412048658
"61",-1.86364213523271
"62",-1.80993133609598
"63",-1.87558733138153
"64",-2.33206603106357
"65",-1.96061334296522
"66",-1.91085019676856
"67",-1.61270282255981
"68",-1.90544537189027
"69",-2.00729046648685
"70",-2.46029448991577
"71",-1.96477495393113
"72",-1.80785743133617
"73",-1.81454512449054
"74",-1.72585753022887
"75",-1.94779745093904
"76",-1.86831770129864
"77",-2.65182317349771
"78",-2.19913148528471
"79",-1.8971107967741
"80",-2.24085357186187
"81",-2.24735389149663
"82",-1.58010006058888
"83",-2.05131527914146
"84",-2.12659703613033
"85",-1.75757566613077
"86",-1.71760013933877
"87",-2.17027282701394
"88",-2.05304503808558
"89",-1.71560707807102
"90",-1.91957095654017
"91",-2.37300753893803
"92",-1.95249263119398
"93",-2.26174540037071
"94",-2.32109899474667
"95",-1.89906887816557
"96",-1.84583111390405
"97",-2.20864946065519
"98",-1.73706615531707
"99",-1.72202944124609
"100",-2.31070516910922
"101",-2.13470847422816
"102",-2.12030262766828
"103",-1.95504475669705
"104",-1.87907640022047
"105",-2.89759161927
"106",-2.23885704279582
"107",-1.82066063157706
"108",-1.87392243816798
"109",-2.15906800085951
"110",-1.68270682313259
"111",-1.93071632621052
"112",-2.25131556012529
"113",-2.09984948528075
"114",-1.849610486271
"115",-1.97052177148907
"116",-2.21945371505026
"117",-2.20314181183378
"118",-1.47125129401594
"119",-1.93506463226835
"120",-2.25845451464837
"121",-1.57861531556861
"122",-2.32416361118615
"123",-1.94181935680146
"124",-1.43554060674594
"125",-2.00093365093798
"126",-1.8796068050834
"127",-1.9678416146608
"128",-2.0875661805521
"129",-1.76785538619815
"130",-2.04675975716056
"131",-2.0617110838254
"132",-2.23711144904441
"133",-1.9907143488855
"134",-1.75948454569764
"135",-1.98294702037562
"136",-2.3733202323396
"137",-1.97491437632905
"138",-2.39072743349818
"139",-1.73851263416342
"140",-2.74461543236071
"141",-2.06359583642446
"142",-2.02702980038802
"143",-1.70357571757173
"144",-2.18412016200968
"145",-2.53689005991337
"146",-1.56992207077968
"147",-2.26711998728228
"148",-1.86893350652313
"149",-1.97996606387355
"150",-1.7065351434176
"151",-1.81604874165523
"152",-1.83517426462368
"153",-2.05544837863394
"154",-1.92150366561894
"155",-2.33419385492993
"156",-2.19914114914051
"157",-1.96121253009142
"158",-2.25163091928093
"159",-1.92756832398664
"160",-2.49639256203127
"161",-2.27014409993745
"162",-1.87619897655968
"163",-1.98279280513337
"164",-2.27054945578602
"165",-1.90824716925331
"166",-2.03653064904624
"167",-2.00077152040534
"168",-2.02381702832972
"169",-2.53029922413128
"170",-1.88000931997346
"171",-1.8771734781525
"172",-2.00139882732489
"173",-2.45430592799683
"174",-1.73767496002822
"175",-2.46378846168052
"176",-1.90383664051229
"177",-2.11779739114524
"178",-1.96596733280453
"179",-1.82046293745093
"180",-2.20222656799559
"181",-1.95018523352793
"182",-1.81100819644771
"183",-2.00713990628813
"184",-1.75495594659946
"185",-2.05186227690105
"186",-1.76870527159082
"187",-2.14536751323134
"188",-1.82861813224852
"189",-1.98790927851994
"190",-1.72760897788853
"191",-2.33717430636962
"192",-1.66243420734674
"193",-1.84089327189524
"194",-1.83707228470023
"195",-2.40018937747639
"196",-2.09298955660537
"197",-1.90714593460383
"198",-2.13899993370001
"199",-1.9124379488067
"200",-1.87368808005382
"201",-1.9790287056119
"202",-1.97474744195063
"203",-2.28566712812141
"204",-2.29353277832869
"205",-1.67730719529173
"206",-2.2903205383574
"207",-1.83367700329382
"208",-1.96517166594095
"209",-1.7173102440433
"210",-2.29026701689836
"211",-2.16432042877005
"212",-2.39479478405256
"213",-2.20665986417138
"214",-2.91044424189952
"215",-2.15405613522024
"216",-1.84785625570929
"217",-2.09192900671653
"218",-1.94927915019915
"219",-2.22583596770374
"220",-1.76640840716471
"221",-1.77174240038784
"222",-2.26558082715572
"223",-2.29038884228827
"224",-1.97957102594786
"225",-2.10965228810883
"226",-1.85718472401072
"227",-1.68425975064294
"228",-2.06352629519954
"229",-2.17295927449269
"230",-2.47428918368266
"231",-2.14234731207861
"232",-1.7975691946571
"233",-1.93626646204776
"234",-1.96515762086653
"235",-2.16423729114532
"236",-2.05295268534675
"237",-1.89449671306857
"238",-2.31918132786911
"239",-2.12483434185866
"240",-1.97105767403136
"241",-2.05926240041822
"242",-2.36840283556525
"243",-1.77624582489254
"244",-2.0413010820531
"245",-2.22771919033408
"246",-2.08135637767187
"247",-1.75533380442052
"248",-2.48428031115962
"249",-1.76374969310401
"250",-2.04730153057279
"251",-2.10538945861845
"252",-1.55100677567029
"253",-1.97416871456215
"254",-1.95572864472528
"255",-1.53551239812069
"256",-2.03817234548283
"257",-1.82892020841791
"258",-2.00844233395455
"259",-2.0145812564829
"260",-2.3497531089106
"261",-1.65996406742829
"262",-2.4456848118675
"263",-1.73001349271301
"264",-1.7349362582142
"265",-2.08012246190131
"266",-1.76832988366459
"267",-2.1445606179666
"268",-2.07807469802867
"269",-2.46118452702766
"270",-1.78214719784685
"271",-2.2767394299497
"272",-1.71615519035082
"273",-2.20695954764093
"274",-1.77272278352138
"275",-2.40113448829186
"276",-1.69823684034652
"277",-2.27654161679745
"278",-1.73509205103281
"279",-2.89400782287573
"280",-2.1525128005505
"281",-1.87885979022527
"282",-2.36986088383032
"283",-1.88125503922059
"284",-1.55504188429025
"285",-2.4881965462946
"286",-2.1354217937408
"287",-1.65197064645025
"288",-2.78176456295805
"289",-2.03315673137411
"290",-1.76918179248792
"291",-2.07464779290297
"292",-1.90475765847849
"293",-2.38661548705463
"294",-2.06515769830294
"295",-2.14132800133823
"296",-1.95769145693064
"297",-1.62205210782742
"298",-2.34321125049792
"299",-1.93497029553811
"300",-2.10065265024987
"301",-1.79089391788906
"302",-1.76307228863991
"303",-2.14575938149322
"304",-1.90679589307019
"305",-2.2378144116077
"306",-2.30742747870548
"307",-2.08328342958484
"308",-1.96485329399735
"309",-2.25207434176163
"310",-2.03057344137967
"311",-2.28425468827329
"312",-2.02250972514203
"313",-3.1151330594084
"314",-1.7366930051813
"315",-1.60101528493609
"316",-1.46258176459242
"317",-2.02630026004045
"318",-1.86809575443922
"319",-2.05603700224896
"320",-1.92566148788724
"321",-2.41602878295371
"322",-1.9582442296933
"323",-2.08144651721183
"324",-1.76403149409122
"325",-1.95592860395556
"326",-2.28066289736615
"327",-2.37254330333378
"328",-1.95385719943361
"329",-1.79954107794556
"330",-1.97820040532746
"331",-2.0122179640122
"332",-2.39076852682885
"333",-1.84254006073542
"334",-2.12286872875893
"335",-1.59327979145874
"336",-1.4412584993192
"337",-2.1886894956493
"338",-2.00986318873179
"339",-2.07971830307961
"340",-1.87503651699118
"341",-1.88236628142992
"342",-2.31068719684699
"343",-1.96557250713436
"344",-1.49075948484347
"345",-1.66190636000646
"346",-1.74874256550877
"347",-1.91969837703506
"348",-2.11383533888366
"349",-2.06342077547064
"350",-2.55405886355724
"351",-2.14415518425438
"352",-1.96537774841659
"353",-1.5722534961581
"354",-1.98009039778611
"355",-2.47899072842659
"356",-2.11220182922344
"357",-1.77632892417352
"358",-1.83781198837424
"359",-1.97268287983599
"360",-2.06496060487826
"361",-2.30387268607976
"362",-1.77543566220303
"363",-2.23747537387909
"364",-2.19606457699186
"365",-1.83560558315696
"366",-1.92174449992272
"367",-1.92981582265691
"368",-1.88882117709731
"369",-1.87549479982634
"370",-2.88083946077845
"371",-2.20426822104751
"372",-2.87753076800923
"373",-2.38850202108522
"374",-2.16522441799125
"375",-1.73859153709468
"376",-2.1451471964677
"377",-1.98993817216637
"378",-1.52587527198358
"379",-2.37657979810103
"380",-2.27405456019883
"381",-1.73876170458792
"382",-2.58709840996582
"383",-2.13104469550164
"384",-2.14900043722974
"385",-1.57402377974654
"386",-2.38130825267657
"387",-2.28145339905259
"388",-1.76308134236018
"389",-2.69422345450531
"390",-2.17212560925153
"391",-1.64930765613992
"392",-1.8132105135063
"393",-1.8444165923296
"394",-2.15132721254551
"395",-2.53801028737965
"396",-2.45986065036712
"397",-2.13775303036503
"398",-2.36364859505534
"399",-2.28044776088454
"400",-1.79788047589976
"401",-1.99433683962532
"402",-2.39883293413819
"403",-1.8427024348436
"404",-2.19229044508222
"405",-1.4723133404824
"406",-2.09283644324468
"407",-2.40433934787351
"408",-1.78646606193931
"409",-1.91374405596378
"410",-1.8042196329307
"411",-2.19325640770165
"412",-1.91268084602394
"413",-2.00845177798708
"414",-1.94929107637296
"415",-1.48503555164849
"416",-2.08658471898236
"417",-2.10996799128687
"418",-2.0853026340137
"419",-2.05217761679719
"420",-2.35417233285513
"421",-2.44701638662338
"422",-1.97132281148198
"423",-1.88191355951532
"424",-2.84325964594082
"425",-2.13901646805323
"426",-2.468651888254
"427",-2.55457179159366
"428",-1.92940130861167
"429",-1.94817904939067
"430",-2.15037603902524
"431",-1.67132398143531
"432",-2.01676654681038
"433",-1.91776621728391
"434",-2.01547134973044
"435",-2.2189502415412
"436",-1.75410740025558
"437",-1.95940543566004
"438",-2.36682561072062
"439",-2.93748640769706
"440",-1.60385429761989
"441",-2.45049770902385
"442",-1.82750499521091
"443",-2.24408919800387
"444",-1.82950895009325
"445",-2.06533452795334
"446",-1.38442031528711
"447",-2.08491149070976
"448",-1.90452130219802
"449",-2.02877890857246
"450",-2.1597293676171
"451",-1.87592943897088
"452",-1.81599670549355
"453",-2.23362159713523
"454",-2.23307694074625
"455",-2.16768274188014
"456",-1.78539754136502
"457",-2.47080687035972
"458",-2.42867131884297
"459",-1.69094448436508
"460",-1.97751782563446
"461",-1.90244052454857
"462",-2.38546137095507
"463",-2.50439509815214
"464",-2.2656930875562
"465",-1.86619697970811
"466",-1.89904861853434
"467",-2.0156980225186
"468",-1.86731737884884
"469",-1.99701371357365
"470",-1.96419902072452
"471",-1.68204887612834
"472",-2.0752508463812
"473",-1.94854472581136
"474",-1.84776050921913
"475",-2.50205084853616
"476",-2.19655442053762
"477",-1.92457015971217
"478",-2.04457395352272
"479",-1.93558231469738
"480",-1.84159069531492
"481",-1.6335719935243
"482",-2.68772909397631
"483",-3.07008475924922
"484",-1.72701006196947
"485",-2.16036288568606
"486",-1.70612999295375
"487",-2.3044310071558
"488",-2.2250402851821
"489",-2.68597047484043
"490",-2.09229292534052
"491",-2.01061227379684
"492",-1.9519289936887
"493",-2.05815014983705
"494",-1.85980868484146
"495",-1.94744393127624
"496",-2.09449264618179
"497",-1.89056935266084
"498",-2.37356029870369
"499",-1.96643197711459
"500",-1.91625536449112
"501",-1.69822490255993
"502",-2.59981222201732
"503",-2.28501860342759
"504",-1.72651614775886
"505",-2.30752083873222
"506",-2.2743187762404
"507",-1.96750777964566
"508",-2.34484764830466
"509",-1.7720866799705
"510",-1.7460721127826
"511",-2.10925624297232
"512",-1.79106569082768
"513",-2.1574790445219
"514",-2.19916090147816
"515",-2.30761761154506
"516",-2.07568555599739
"517",-1.88979089114782
"518",-1.95415727110129
"519",-2.01588715188403
"520",-1.78768376925615
"521",-2.43431154059923
"522",-2.23975110700496
"523",-2.17998989478722
"524",-1.95283554004324
"525",-1.48180505481139
"526",-1.95791631755851
"527",-1.69925305114056
"528",-1.65786012802918
"529",-1.87135779503354
"530",-1.78234090479496
"531",-1.58299537824187
"532",-2.29685370361199
"533",-2.03320139739593
"534",-1.64150115625523
"535",-1.8073707003414
"536",-1.8849422690683
"537",-2.27856172375972
"538",-1.79637743489231
"539",-1.63633548898397
"540",-2.41817590752528
"541",-1.7211148979267
"542",-1.99654093383718
"543",-2.09995624958375
"544",-2.06175508105393
"545",-1.49522111988252
"546",-2.12433901107791
"547",-2.33289454072257
"548",-2.47860215129941
"549",-2.24177423859587
"550",-3.37813352192129
"551",-2.13049673644842
"552",-1.9083458111387
"553",-2.19937256466825
"554",-1.84271161990701
"555",-2.87371202345894
"556",-1.85839103461701
"557",-2.33022066820935
"558",-1.82305492378842
"559",-1.70312945252208
"560",-1.79203694819445
"561",-1.99099550026596
"562",-2.35117762047857
"563",-1.77264849091931
"564",-1.94376066735393
"565",-2.4635153191395
"566",-2.00426561867281
"567",-1.63797221728174
"568",-1.99349324475433
"569",-1.87053554710196
"570",-2.30366030780402
"571",-1.97627791317673
"572",-1.69114833550618
"573",-1.73108364854277
"574",-2.22547040153482
"575",-2.28859560263987
"576",-1.55422763268391
