"","x"
"1",-2.15
"2",-3
"3",-2.1
"4",-2.55
"5",-1.5
"6",-4
"7",-2.45
"8",-1.35
"9",-1.55
"10",-1.45
"11",-2.2
"12",-1.6
"13",-2.55
"14",-1.4
"15",-0.9
"16",-1.5
"17",-1.35
"18",-1.1
"19",-1.75
"20",-2.25
"21",-1.3
"22",-2.4
"23",-2.05
"24",-3.4
"25",-1.8
"26",-2.15
"27",-2.5
"28",-1.6
"29",-1.2
"30",-1.8
"31",-1.65
"32",-1.55
"33",-1.2
"34",-4
"35",-3.65
"36",-1.7
"37",-1.75
"38",-2.3
"39",-3.1
"40",-1.6
"41",-2.1
"42",-2.9
"43",-1.7
"44",-2.8
"45",-2.05
"46",-1.45
"47",-1.5
"48",-1.95
"49",-2.4
"50",-1.65
"51",-2.75
"52",-1.05
"53",-1.15
"54",-1.3
"55",-1.3
"56",-3.95
"57",-1.65
"58",-1.45
"59",-1.65
"60",-1.8
"61",-2.6
"62",-1.35
"63",-1.25
"64",-4
"65",-1.15
"66",-1.9
"67",-1.85
"68",-1.9
"69",-1.7
"70",-2.75
"71",-1.45
"72",-2.3
"73",-2.2
"74",-1.35
"75",-1.45
"76",-1.85
"77",-1.65
"78",-1.6
"79",-1.7
"80",-2.55
"81",-1.7
"82",-2.95
"83",-1.4
"84",-1.2
"85",-1.8
"86",-1.75
"87",-1.15
"88",-2.65
"89",-1
"90",-2
"91",-1.35
"92",-1.35
"93",-1.9
"94",-0.65
"95",-1.5
"96",-1.7
"97",-1.1
"98",-2.85
"99",-1.2
"100",-1
"101",-0.5
"102",-1.45
"103",-2.15
"104",-1.4
"105",-1.65
"106",-2.05
"107",-1.55
"108",-1.8
"109",-2.75
"110",-4
"111",-1.9
"112",-1.85
"113",-2.05
"114",-2.3
"115",-1.8
"116",-2
"117",-1.65
"118",-1.55
"119",-2.65
"120",-2.2
"121",-1.2
"122",-2
"123",-1.35
"124",-3.95
"125",-1.25
"126",-1.35
"127",-1.6
"128",-2.95
"129",-1.7
"130",-1.55
"131",-1.7
"132",-1.6
"133",-2.2
"134",-1.65
"135",-1.55
"136",-2.6
"137",-4
"138",-2.25
"139",-1.25
"140",-0.95
"141",-3.25
"142",-3.9
"143",-1.65
"144",-1.6
"145",-1.85
"146",-2.15
"147",-1.6
"148",-1.65
"149",-0.85
"150",-1.45
"151",-4
"152",-1.85
"153",-3.6
"154",-1.45
"155",-3.55
"156",-1.7
"157",-1.1
"158",-1.6
"159",-1.95
"160",-2.35
"161",-1.55
"162",-1.3
"163",-2.65
"164",-1.25
"165",-0.9
"166",-1.2
"167",-1.3
"168",-1.45
"169",-1.3
"170",-2
"171",-1.3
"172",-1.55
"173",-2.1
"174",-1.1
"175",-1.4
"176",-1.2
"177",-2.55
"178",-2.05
"179",-4
"180",-1.2
"181",-1.6
"182",-2.05
"183",-3.25
"184",-1.55
"185",-1.4
"186",-4
"187",-0.85
"188",-1.95
"189",-4
"190",-2.9
"191",-1.15
"192",-1.4
"193",-3.45
"194",-2.45
"195",-2.45
"196",-3.85
"197",-1.8
"198",-0.85
"199",-2.9
"200",-1.8
"201",-1.4
"202",-2.45
"203",-2.6
"204",-2.95
"205",-1
"206",-2.25
"207",-3.75
"208",-1.45
"209",-1.25
"210",-3.1
"211",-1.5
"212",-2.7
"213",-2.35
"214",-4
"215",-1.3
"216",-1.9
"217",-2.3
"218",-3.65
"219",-2.25
"220",-2.3
"221",-1.45
"222",-1.6
"223",-1.45
"224",-1.15
"225",-1.25
"226",-2.1
"227",-1.8
"228",-2.2
"229",-1.65
"230",-1.35
"231",-3.3
"232",-1.35
"233",-1.85
"234",-1.95
"235",-3.2
"236",-2.05
"237",-1.55
"238",-1.9
"239",-1.75
"240",-0.9
"241",-1.8
"242",-1.8
"243",-2.3
"244",-2.05
"245",-2.45
"246",-4
"247",-1.15
"248",-1.95
"249",-1.15
"250",-1.75
"251",-1.5
"252",-1.45
"253",-3.05
"254",-1.55
"255",-2
"256",-1.8
"257",-1.7
"258",-2.15
"259",-1.8
"260",-1.95
"261",-1.75
"262",-1.9
"263",-1.65
"264",-2.75
"265",-4
"266",-1.45
"267",-1.15
"268",-3.7
"269",-2.4
"270",-2.2
"271",-0.95
"272",-1.9
"273",-3.5
"274",-2.95
"275",-2.35
"276",-1.3
"277",-2
"278",-3.15
"279",-1.25
"280",-1.4
"281",-1.05
"282",-1.95
"283",-1.2
"284",-1.75
"285",-1.6
"286",-1.6
"287",-1.35
"288",-1.9
"289",-1.85
"290",-1.6
"291",-1.85
"292",-1.7
"293",-2.1
"294",-1.95
"295",-3
"296",-1.5
"297",-3.5
"298",-4
"299",-1.6
"300",-1.4
"301",-1.35
"302",-3.45
"303",-1.15
"304",-1.2
"305",-1.85
"306",-0.8
"307",-2
"308",-3.05
"309",-1.65
"310",-2.1
"311",-1.9
"312",-0.95
"313",-2.35
"314",-1.55
"315",-1.25
"316",-2.65
"317",-1.75
"318",-2.45
"319",-1.45
"320",-1.85
"321",-1.5
"322",-2.95
"323",-0.85
"324",-1.65
"325",-1.5
"326",-2.3
"327",-1.6
"328",-1.9
"329",-1.65
"330",-2.45
"331",-1.25
"332",-1.75
"333",-2.45
"334",-1.85
"335",-2.5
"336",-3.35
"337",-2
"338",-1.2
"339",-2.85
"340",-2.45
"341",-1.6
"342",-2.9
"343",-1.8
"344",-1.15
"345",-1.5
"346",-1.85
"347",-1.35
"348",-4
"349",-1.75
"350",-1.45
"351",-1
"352",-4
"353",-1.7
"354",-1.35
"355",-1.8
"356",-2.25
"357",-1.8
"358",-2.35
"359",-1.45
"360",-1.55
"361",-1.25
"362",-0.65
"363",-0.9
"364",-1.8
"365",-3.8
"366",-1.75
"367",-1.8
"368",-1.45
"369",-1.7
"370",-1.75
"371",-1.6
"372",-3.9
"373",-3.65
"374",-4
"375",-2.05
"376",-1.3
"377",-1.45
"378",-2.05
"379",-1.4
"380",-4
"381",-1.65
"382",-2
"383",-1.45
"384",-1.25
"385",-1.55
"386",-1.35
"387",-1.8
"388",-1.15
"389",-2
"390",-1.25
"391",-1.25
"392",-1.8
"393",-4
"394",-1.5
"395",-0.85
"396",-1.35
"397",-2.85
"398",-2.1
"399",-1.6
"400",-1.85
"401",-1.55
"402",-1.25
"403",-1.7
"404",-1.35
"405",-1.3
"406",-1.45
"407",-1.25
"408",-1.3
"409",-1.5
"410",-1.3
"411",-0.6
"412",-0.9
"413",-1.45
"414",-1.1
"415",-2.6
"416",-4
"417",-1.05
"418",-4
"419",-1.5
"420",-2.35
"421",-4
"422",-1.45
"423",-1.7
"424",-1.85
"425",-2.8
"426",-1.95
"427",-1.85
"428",-2.2
"429",-1.5
"430",-2
"431",-2.4
"432",-1.1
"433",-1.75
"434",-1.35
"435",-2.15
"436",-2
"437",-2.25
"438",-1.4
"439",-1.45
"440",-1.65
"441",-1.9
"442",-2.75
"443",-2.05
"444",-1.6
"445",-2.75
"446",-1.2
"447",-4
"448",-2.4
"449",-2.75
"450",-1.9
"451",-2.5
"452",-1.7
"453",-2.85
"454",-2.2
"455",-1.25
"456",-2.2
"457",-1.7
"458",-1.45
"459",-3.1
"460",-1.8
"461",-1.05
"462",-3.7
"463",-2.35
"464",-2.8
"465",-3
"466",-1.55
"467",-2
"468",-3.2
"469",-3
"470",-1.6
"471",-2.1
"472",-3.35
"473",-1.5
"474",-1.45
"475",-2.95
"476",-2.55
"477",-3.35
"478",-1.3
"479",-1.85
"480",-1.7
"481",-3.05
"482",-3.15
"483",-2.8
"484",-1.95
"485",-0.85
"486",-1.95
"487",-2.65
"488",-1.2
"489",-1.8
"490",-4
"491",-4
"492",-1.85
"493",-1.6
"494",-2.3
"495",-2.75
"496",-4
"497",-2
"498",-1.3
"499",-1.85
"500",-1.05
"501",-2.35
"502",-3.3
"503",-2.35
"504",-3.5
"505",-1.6
"506",-2
"507",-1.15
"508",-3.45
"509",-1.35
"510",-1.9
"511",-1.8
"512",-3.15
"513",-4
"514",-1.6
"515",-2.95
"516",-1.05
"517",-3.75
"518",-2.15
"519",-1.9
"520",-2.85
"521",-1.95
"522",-2.25
"523",-0.8
"524",-2.1
"525",-3.8
"526",-1.7
"527",-2
"528",-4
"529",-1.8
"530",-1.95
"531",-1.45
"532",-1.55
"533",-2.05
"534",-1.4
"535",-2.4
"536",-1.8
"537",-2.3
"538",-3.9
"539",-3.65
"540",-2.15
"541",-2.9
"542",-1.45
"543",-1.1
"544",-2.7
"545",-1.4
"546",-2.1
"547",-1.75
"548",-1.25
"549",-1.5
"550",-1.15
"551",-1.3
"552",-1.9
"553",-2.3
"554",-1.2
"555",-1.75
"556",-1.45
"557",-1.8
"558",-1.7
"559",-1.2
"560",-1.25
"561",-1.05
"562",-1.35
"563",-1.55
"564",-1.35
"565",-1.3
"566",-1.85
"567",-2.2
"568",-4
"569",-1.55
"570",-1
"571",-2.35
"572",-1.6
"573",-1.2
"574",-1.8
"575",-4
"576",-3.1
"577",-2.1
"578",-1.25
"579",-1.45
"580",-1.35
"581",-1.15
"582",-1.75
"583",-1.8
"584",-3.9
"585",-1.4
"586",-2.55
"587",-1.4
"588",-1.25
"589",-1.5
"590",-4
"591",-1.1
"592",-2.6
"593",-2.25
"594",-1.35
"595",-2.5
"596",-0.85
"597",-1.15
"598",-1.9
"599",-1.45
"600",-1.15
"601",-1.55
"602",-1.3
"603",-1.3
"604",-1.8
"605",-1.1
"606",-1.55
"607",-1.05
"608",-1.95
"609",-1.15
"610",-1.65
"611",-2.25
"612",-2
"613",-2.7
"614",-1.5
"615",-1.65
"616",-2.45
"617",-2.05
"618",-1.1
"619",-1.45
"620",-2.2
"621",-1.6
"622",-1.7
"623",-4
"624",-3.95
"625",-3.65
"626",-0.6
"627",-2.35
"628",-1.3
"629",-0.95
"630",-1.75
"631",-1.55
"632",-3.4
"633",-1.85
"634",-1.6
"635",-2.55
"636",-4
"637",-1.45
"638",-2
"639",-1.8
"640",-3.5
"641",-1.4
"642",-2.05
"643",-4
"644",-1.55
"645",-1.95
"646",-1.95
"647",-1.45
"648",-1.9
"649",-2
"650",-0.95
"651",-1.65
"652",-1.65
"653",-1.65
"654",-1.65
"655",-2.55
"656",-3.7
"657",-2.25
"658",-1.15
"659",-1.3
"660",-2.65
"661",-1.6
"662",-2.2
"663",-1.7
"664",-1.05
"665",-3.05
"666",-3.25
"667",-3.6
"668",-2.8
"669",-1.85
"670",-2.3
"671",-2.25
"672",-1.45
"673",-1.8
"674",-2.15
"675",-2.95
"676",-2
"677",-1.8
"678",-1.9
"679",-2.05
"680",-1.6
"681",-4
"682",-1
"683",-4
"684",-1.1
"685",-3.6
"686",-2.25
"687",-2.15
"688",-2.15
"689",-1.55
"690",-2.45
"691",-2
"692",-2.05
"693",-4
"694",-1.8
"695",-1.6
"696",-1.65
"697",-1.9
"698",-2.45
"699",-2.15
"700",-0.95
"701",-4
"702",-2
"703",-1.2
"704",-1.85
"705",-1.8
"706",-1.8
"707",-1.1
"708",-1.3
"709",-2.2
"710",-2.7
"711",-2.25
"712",-2.25
"713",-1.8
"714",-1.45
"715",-1.5
"716",-2.55
"717",-2.2
"718",-1.25
"719",-1.55
"720",-1.95
"721",-1.95
"722",-1.05
"723",-1.5
"724",-2.95
"725",-2.15
"726",-2.8
"727",-1.5
"728",-1.25
"729",-1.8
"730",-0.9
"731",-3.45
"732",-1.55
"733",-2.55
"734",-1.75
"735",-1.8
"736",-2.7
"737",-2.4
"738",-2.35
"739",-2.5
"740",-2.25
"741",-1.85
"742",-2.65
"743",-1.6
"744",-2.05
"745",-2.15
"746",-1.3
"747",-1.1
"748",-1.55
"749",-2.45
"750",-1.8
"751",-1.5
"752",-1.85
"753",-1.1
"754",-2.9
"755",-1.05
"756",-1.85
"757",-2.15
"758",-1.55
"759",-1.8
"760",-1
"761",-1.7
"762",-1.8
"763",-1.55
"764",-1.75
"765",-1.2
"766",-2
"767",-2.05
"768",-2.55
"769",-1.4
"770",-2.1
"771",-0.8
"772",-2.75
"773",-1.3
"774",-1.2
"775",-2.3
"776",-0.9
"777",-1.8
"778",-1.5
"779",-1.5
