"","x"
"1",-1.74383049518316
"2",-2.06564829222272
"3",-1.97507630812528
"4",-1.79976550735046
"5",-2.18246617662129
"6",-2.05833148270167
"7",-2.29213107632533
"8",-1.9215159744872
"9",-2.42336847631585
"10",-2.03991161262716
"11",-2.52735272881721
"12",-1.83606755122975
"13",-2.53424965713382
"14",-1.96346516332273
"15",-1.90926593244042
"16",-1.82192805990756
"17",-1.58943953323927
"18",-1.70127559503294
"19",-1.96808147361323
"20",-2.00857122281721
"21",-2.17510644957737
"22",-1.52820816375125
"23",-1.65306451342984
"24",-1.93337650035414
"25",-2.28684962774132
"26",-2.55558993411892
"27",-1.77619096215553
"28",-2.4307423738006
"29",-1.89254251858776
"30",-1.75314459840647
"31",-2.55351554761442
"32",-1.92720705500352
"33",-1.97884717630063
"34",-2.2190394632408
"35",-1.64426024776602
"36",-2.13712944164533
"37",-2.60705082956582
"38",-2.15080426300204
"39",-1.71338603629187
"40",-2.56687509062065
"41",-2.24361076771787
"42",-1.77436994029268
"43",-1.8907052901578
"44",-1.89529784836073
"45",-2.08518844553
"46",-1.92017038714467
"47",-2.08525416455588
"48",-1.95316420928952
"49",-2.23947400451446
"50",-2.29730717679092
"51",-2.08003302849044
"52",-2.12850496311337
"53",-1.92079637902464
"54",-2.10628902226643
"55",-1.82433830299744
"56",-1.96745068798683
"57",-1.80488362551444
"58",-1.87301565871327
"59",-1.91364722839862
"60",-1.51401997660818
"61",-1.91598558882715
"62",-2.03067156462117
"63",-2.18970249344013
"64",-2.23815599207767
"65",-1.99097080210867
"66",-1.9291544088224
"67",-2.48465373206349
"68",-2.27527523994495
"69",-2.04834697696451
"70",-1.80915536284144
"71",-2.13336873799182
"72",-1.87189259085293
"73",-1.78602425219655
"74",-2.50979481367707
"75",-1.80238411959609
"76",-1.98165239998842
"77",-1.9674506265711
"78",-1.95047312469261
"79",-1.61679603073396
"80",-2.02797321206895
"81",-1.5207837392194
"82",-1.76920821803876
"83",-2.49794901494304
"84",-1.96863290251652
"85",-2.40367156813317
"86",-2.26054590061165
"87",-3.04552995532723
