"","x"
"1",-1.99252773070476
"2",-2.26060584106659
"3",-1.93416169865795
"4",-1.94972806434974
"5",-1.91878278100077
"6",-2.01975259177453
"7",-2.45278921744437
"8",-1.92469424294734
"9",-1.92861454795918
"10",-1.97102799425703
"11",-1.73802785666451
"12",-1.80124273952389
"13",-2.82617267425826
"14",-1.75279266718926
"15",-1.90880425169932
"16",-1.89888112002709
"17",-1.63374844360375
"18",-1.73349963585862
"19",-1.86228950451039
"20",-2.03271328513598
"21",-2.49742048599226
"22",-1.50907605908463
"23",-1.85400051921769
"24",-2.72792334004293
"25",-2.73391936083688
"26",-2.12988972433144
"27",-2.29916895473842
"28",-1.56787706678894
"29",-2.00356269194118
"30",-1.86620845493195
"31",-2.03021507032655
"32",-2.04993180077727
"33",-1.76702836558652
"34",-1.97508303578404
"35",-2.43388539831061
"36",-1.77793030573986
"37",-2.33500930333049
"38",-2.22284749048128
"39",-1.78346710715342
"40",-2.25432968596336
"41",-2.41257716859702
"42",-3.21331239670346
"43",-1.58538612554338
"44",-1.6127940371254
"45",-1.71366823807242
"46",-1.51849253891525
"47",-2.34027757779068
"48",-1.9154980137551
"49",-2.3559232200903
"50",-1.8253733670433
"51",-2.38395830189732
"52",-2.46583831958609
"53",-1.39271738420332
"54",-2.60877128292943
"55",-1.38040097583885
"56",-1.51585949718153
"57",-1.95335652743755
"58",-2.1408700693043
"59",-3.3931681076469
"60",-2.0422296904193
"61",-1.73940076274713
"62",-1.45097595097851
"63",-2.71952273312653
"64",-2.25176594948161
"65",-2.49563617874913
"66",-2.71546260763612
"67",-2.26168191443703
"68",-2.47330726955785
"69",-1.73373445861692
"70",-1.89299513409847
"71",-1.74393134883871
"72",-1.90985469025324
"73",-2.42140607905893
"74",-2.94256501599481
"75",-2.39079668967693
"76",-2.01146926157334
"77",-1.96361054880668
"78",-1.7765752488272
"79",-2.20137047146555
"80",-2.29674605435122
"81",-1.95990095221821
"82",-2.28152417202617
"83",-1.93131032557676
"84",-2.0840550853911
"85",-2.59626950719205
"86",-1.76628279087681
"87",-1.93826146491927
"88",-1.95805706384281
"89",-1.96643755771757
"90",-1.89060189817609
"91",-2.17373128392643
"92",-2.08526168001208
"93",-2.13978909286058
"94",-2.0852802155446
"95",-1.91413599210934
"96",-1.80531871241191
"97",-1.95820674928141
"98",-2.33093373470543
"99",-2.37153352577125
"100",-1.87632107767753
"101",-2.38072955691449
"102",-1.95580144502849
"103",-2.3148549822788
"104",-2.02413784118127
"105",-2.14416125882275
"106",-2.07834456005989
"107",-2.02437459989116
"108",-1.80511285632364
"109",-2.25808307024447
"110",-1.84331080684498
"111",-1.82110881322927
"112",-2.18393306166043
"113",-2.18258985235124
"114",-1.70669115054316
"115",-2.59122042568572
"116",-1.80400657338689
"117",-2.01003548398894
"118",-2.29168316689157
"119",-2.06206991329687
"120",-2.05817912286978
"121",-1.97113464134701
"122",-1.97884966474035
"123",-2.88964779208328
"124",-1.83339897699919
"125",-2.1211556632543
"126",-2.39896002235627
"127",-1.96226835024198
"128",-2.26272546175917
"129",-2.2620504926937
"130",-1.78129777932093
"131",-1.80887401754254
"132",-1.77980641876415
"133",-1.76816832775439
"134",-2.51525152014529
"135",-2.17036648146849
"136",-2.07303762631688
"137",-2.08114368613289
"138",-2.24192126000247
"139",-2.3069581354913
"140",-1.93145695887689
"141",-1.83839824749076
"142",-2.36731153021473
"143",-1.88364934944877
"144",-1.97964830175235
"145",-1.8363096185908
"146",-1.6553552603032
"147",-1.49901277403134
"148",-2.44267945731817
"149",-1.89168971190976
"150",-2.49415465770444
"151",-1.91778724763699
"152",-1.58515838458678
"153",-2.08377547592539
"154",-1.86476968878306
"155",-2.19701877178258
"156",-1.98800263789806
"157",-1.72765469832331
"158",-2.59795065875479
"159",-2.50774325910276
"160",-1.82237798580005
"161",-1.88312217089651
"162",-2.56436897871744
"163",-2.17008524608281
"164",-1.82552198121622
"165",-2.04397340635
"166",-1.62848048792081
"167",-1.75984571131721
"168",-2.42527270471721
"169",-2.83100539297533
"170",-2.18863089378556
"171",-1.55859574291771
"172",-1.79786598981361
"173",-1.75169455991001
"174",-1.92577609528444
"175",-2.71083956376229
"176",-2.07823194779724
"177",-1.78465182150131
"178",-2.16606466551473
"179",-2.61869937224457
"180",-2.27744527208093
"181",-1.78753439245082
"182",-2.04855554286935
"183",-2.34616572567396
"184",-1.88107918250465
"185",-2.37730722044588
"186",-2.36360384859197
"187",-1.94352040699202
"188",-2.22374356491738
"189",-1.81841855360987
"190",-1.65647908874732
"191",-2.56401851517495
"192",-1.80382201127572
"193",-1.87413880865385
"194",-1.82955992973827
"195",-2.09902847704683
"196",-2.16708767138505
"197",-2.60930699218335
"198",-1.62994142104522
"199",-2.06870857889629
"200",-1.84781930391558
"201",-1.69791623899559
"202",-1.96466783130117
"203",-2.81080558957188
"204",-1.92953847530224
"205",-2.23953451734105
"206",-1.90143723205671
"207",-1.80495934788683
"208",-2.30233738451168
"209",-1.63045841078167
"210",-1.81764323189876
"211",-1.93909245231553
"212",-1.77713721947553
"213",-1.40830360467426
"214",-1.88901768930384
"215",-2.23338520536434
"216",-2.15382593295166
"217",-2.92793139555299
"218",-1.86145058425864
"219",-1.3864468090385
"220",-2.63403254017715
"221",-2.10252179378949
"222",-2.11859810760778
"223",-2.13324026274451
"224",-2.46176402381513
"225",-1.87942721401398
"226",-2.02265035138279
"227",-1.88405401874064
"228",-2.13913130433369
"229",-3.44976500375323
"230",-1.85936998757788
"231",-2.63696562598163
"232",-1.62192719805318
"233",-1.96638755638474
"234",-2.08209447847779
"235",-2.7898638084785
"236",-1.65043325157881
"237",-2.11310279696582
"238",-2.04980295716425
"239",-2.09076619091058
"240",-2.58820819095995
"241",-1.62217884791603
"242",-1.92732841751012
"243",-1.86203513820515
"244",-2.29166309586772
"245",-1.69165130768478
"246",-1.88897988054713
"247",-2.48668248152309
"248",-2.78026985191684
"249",-1.5729208783001
"250",-1.77677915902619
"251",-1.81459315438519
