"","x"
"1",-2.05
"2",-2.35
"3",-2.2
"4",-1.95
"5",-2.45
"6",-2.5
"7",-2.1
"8",-1.75
"9",-2.2
"10",-4
"11",-2.2
"12",-1.85
"13",-2.3
"14",-1.9
"15",-2.15
"16",-1.8
"17",-1.6
"18",-1.9
"19",-1.95
"20",-2
"21",-2.35
"22",-1.6
"23",-1.65
"24",-1.95
"25",-1.8
"26",-2.55
"27",-1.8
"28",-2.3
"29",-1.85
"30",-1.65
"31",-2.05
"32",-2
"33",-1.8
"34",-2.2
"35",-1.65
"36",-1.95
"37",-2.45
"38",-2
"39",-1.7
"40",-2.1
"41",-2.2
"42",-1.9
"43",-1.85
"44",-1.9
"45",-1.7
"46",-1.9
"47",-2.7
"48",-1.75
"49",-2.05
"50",-2.35
"51",-2.4
"52",-2.35
"53",-1.95
"54",-3.25
"55",-1.85
"56",-2.85
"57",-2.1
"58",-1.75
"59",-2.2
"60",-1.5
"61",-1.7
"62",-2.15
"63",-1.9
"64",-2.6
"65",-1.9
"66",-1.9
"67",-2.15
"68",-2.2
"69",-2
"70",-1.75
"71",-1.9
"72",-1.7
"73",-1.85
"74",-2.8
"75",-1.8
"76",-1.9
"77",-2.1
"78",-2.05
"79",-1.65
"80",-2.05
"81",-1.6
"82",-1.7
"83",-2.45
"84",-2.05
"85",-2.2
"86",-2.45
"87",-2.6
"88",-1.65
"89",-1.8
"90",-2.65
"91",-2
"92",-2
"93",-2.9
"94",-2.1
"95",-2.05
"96",-2.2
"97",-2
"98",-1.45
"99",-1.8
"100",-1.75
"101",-1.7
"102",-2.2
"103",-2.45
"104",-2.65
"105",-2.05
"106",-2.1
"107",-1.95
"108",-1.95
"109",-1.75
"110",-1.95
"111",-1.7
"112",-1.95
"113",-2.35
"114",-2
"115",-1.95
"116",-2.2
"117",-1.65
"118",-2.2
"119",-2.15
"120",-2.05
"121",-2.15
"122",-1.7
"123",-1.9
"124",-2.05
"125",-1.85
"126",-2.1
"127",-2.35
"128",-2.35
"129",-2.2
"130",-2.45
"131",-1.85
"132",-1.9
"133",-1.85
"134",-1.85
"135",-1.7
"136",-2
"137",-1.9
"138",-1.55
"139",-2
"140",-2.2
"141",-2.25
"142",-2.15
"143",-1.6
"144",-1.55
"145",-2.25
"146",-2.1
"147",-1.6
"148",-2.3
"149",-2.45
"150",-2.25
"151",-2.55
"152",-2.2
"153",-2.1
"154",-1.75
"155",-1.75
"156",-2
"157",-1.8
"158",-2.15
"159",-2.75
"160",-1.7
"161",-1.85
"162",-1.85
"163",-1.75
"164",-1.95
"165",-1.9
"166",-2.3
"167",-2.05
"168",-2.05
"169",-1.9
"170",-1.9
"171",-2.1
"172",-2.05
"173",-2.25
"174",-2.2
"175",-2.5
"176",-1.9
"177",-1.9
"178",-1.7
"179",-1.45
"180",-2.45
"181",-2.15
"182",-3.55
"183",-2.25
"184",-1.65
"185",-1.65
"186",-2.35
"187",-1.55
"188",-2
"189",-2.6
"190",-2.2
"191",-2.3
"192",-2.2
"193",-1.95
"194",-1.6
"195",-1.95
"196",-2.15
"197",-1.95
"198",-1.75
"199",-2.15
"200",-1.95
"201",-1.5
"202",-1.8
"203",-2.4
"204",-2.6
"205",-1.85
"206",-1.85
"207",-1.8
"208",-1.9
"209",-2.2
"210",-2.05
"211",-2.35
"212",-1.9
"213",-1.65
"214",-1.6
"215",-1.7
"216",-2.2
"217",-1.75
"218",-2.8
"219",-2.6
"220",-2.75
"221",-1.75
"222",-1.95
"223",-1.9
"224",-2
"225",-1.9
"226",-1.8
"227",-2.2
"228",-2.3
"229",-1.55
"230",-2
"231",-2
"232",-1.85
"233",-2.05
"234",-1.75
"235",-2.1
"236",-1.8
"237",-2.6
"238",-1.55
"239",-2.1
"240",-2.15
"241",-2.3
"242",-1.85
"243",-1.65
"244",-1.8
"245",-2.05
"246",-2.3
"247",-1.55
"248",-1.8
"249",-1.95
"250",-2.35
"251",-1.55
"252",-1.9
"253",-2
"254",-1.7
"255",-2.15
"256",-1.85
"257",-2
"258",-1.85
"259",-1.9
"260",-1.75
"261",-2
"262",-1.75
"263",-2.6
"264",-2.4
"265",-2
"266",-1.95
"267",-2.35
"268",-1.55
"269",-1.8
"270",-2
"271",-2.7
"272",-1.75
"273",-1.6
"274",-2.25
"275",-2.1
"276",-2.1
"277",-1.6
"278",-1.65
"279",-2.2
"280",-2.45
"281",-1.65
"282",-1.65
"283",-1.9
"284",-1.6
"285",-2.5
"286",-1.95
"287",-1.65
"288",-3
"289",-2.75
"290",-2
"291",-2.15
"292",-2.1
"293",-1.8
"294",-2
"295",-2.45
"296",-2.2
"297",-1.95
"298",-2.15
"299",-2.15
"300",-2.05
"301",-1.85
"302",-1.75
"303",-1.8
"304",-1.6
"305",-1.9
"306",-1.6
"307",-2.15
"308",-1.95
"309",-2.1
"310",-1.7
"311",-1.9
"312",-2.25
"313",-1.9
"314",-1.55
"315",-2
"316",-1.85
"317",-2.1
"318",-2.55
"319",-2
"320",-1.7
"321",-2.15
"322",-1.75
"323",-1.75
"324",-2.2
"325",-2.1
"326",-1.9
"327",-2.2
"328",-2.05
"329",-1.85
"330",-2
"331",-1.65
"332",-2.2
"333",-1.75
"334",-2
"335",-1.85
"336",-1.95
"337",-1.9
"338",-2.55
"339",-2.1
"340",-1.95
"341",-2
"342",-1.95
"343",-1.85
"344",-2.05
"345",-2.45
"346",-3.3
"347",-1.95
"348",-1.55
"349",-2
"350",-1.65
"351",-1.9
"352",-2.05
"353",-1.85
"354",-1.5
"355",-1.75
"356",-1.95
"357",-1.9
"358",-2.35
"359",-2
"360",-1.7
"361",-1.75
"362",-1.85
"363",-1.9
"364",-2.5
"365",-2
"366",-2.3
"367",-2.3
"368",-1.95
"369",-2.5
"370",-1.85
"371",-2.9
"372",-2.3
"373",-1.7
"374",-2.05
"375",-1.95
"376",-2.55
"377",-1.75
"378",-1.7
"379",-2
"380",-2.35
"381",-1.75
"382",-2.2
"383",-2.05
"384",-1.9
"385",-2.05
"386",-2.05
"387",-1.85
"388",-1.65
"389",-1.6
"390",-2.15
"391",-2.35
"392",-2.35
"393",-1.8
"394",-2.1
"395",-2.25
"396",-1.9
"397",-2.65
"398",-2.15
"399",-2.2
"400",-2.5
"401",-2.1
"402",-1.7
"403",-1.75
"404",-1.5
"405",-1.9
"406",-1.9
"407",-2.25
"408",-1.85
"409",-2.15
"410",-1.9
"411",-2.15
"412",-1.9
"413",-2.15
"414",-2.05
"415",-1.75
"416",-2.5
"417",-2.3
"418",-2
"419",-2.5
"420",-1.95
"421",-1.6
"422",-2
"423",-1.8
"424",-2.4
"425",-2.3
"426",-1.75
"427",-1.95
"428",-1.95
"429",-2.05
"430",-1.75
"431",-1.9
"432",-1.95
"433",-1.75
"434",-1.95
"435",-1.95
"436",-2.35
"437",-1.6
"438",-2.2
"439",-1.7
"440",-1.9
"441",-1.9
"442",-2.15
"443",-1.9
"444",-1.9
"445",-1.75
"446",-2.7
"447",-1.8
"448",-1.8
"449",-2.2
"450",-1.9
"451",-2.4
"452",-1.4
"453",-1.85
"454",-2.15
