"","x"
"1",-2.00734057424134
"2",-2.39033142792371
"3",-1.90080607555348
"4",-1.99760884610272
"5",-2.20753790612711
"6",-2.46113836511457
"7",-2.21554357878583
"8",-1.91118455973072
"9",-1.90771845800053
"10",-2.01835876078429
"11",-2.27773142809473
"12",-1.81165890157075
"13",-2.66521132637165
"14",-1.70223590751995
"15",-2.39379711629247
"16",-1.76166749858182
"17",-1.62573465754955
"18",-1.55202799076459
"19",-2.19761974812771
"20",-1.96667362437686
"21",-2.80600928915544
"22",-2.26190846688633
"23",-1.74872632232925
"24",-2.90438199597247
"25",-2.71256831150931
"26",-2.26594531868614
"27",-2.28148992687288
"28",-1.39004092787215
"29",-1.96944211002673
"30",-1.73495188120233
"31",-2.09074044875506
"32",-2.11275185339941
"33",-1.7579811859943
"34",-2.08360613081481
"35",-2.54994523454689
"36",-1.84874949546662
"37",-2.31348920379192
"38",-2.31464996221329
"39",-2.01616977703954
"40",-2.12894711998352
"41",-2.13218787682454
"42",-2.81480442113574
"43",-1.62320330002866
"44",-1.61376415215153
"45",-1.64504752407709
"46",-1.5287677210498
"47",-2.49645753307432
"48",-2.06523623590794
"49",-2.05148638826117
"50",-1.75156798507059
"51",-2.23097333743942
"52",-2.27991852819807
"53",-1.51122388003065
"54",-2.70060549403648
"55",-1.94380789808737
"56",-1.46912443510668
"57",-1.94038615700436
"58",-2.28698472170692
"59",-3.14600039645588
"60",-1.90982729264796
"61",-1.72447950255796
"62",-1.65762117058421
"63",-2.63086558870778
"64",-2.04598727573957
"65",-3.25808579266939
"66",-2.31050268748056
"67",-2.19495744834403
"68",-2.41314098792741
"69",-1.73960494473901
"70",-2.07179791190412
"71",-1.75097972986235
"72",-2.02647545594437
"73",-2.45751781542846
"74",-2.77780741834562
"75",-2.19756875384944
"76",-1.87066843901797
"77",-1.44416710694718
"78",-1.65925374534548
"79",-1.93786512321677
"80",-2.00571460980045
"81",-1.74731594952511
"82",-2.32419557832351
"83",-1.87332625477991
"84",-2.15961186147688
"85",-2.74167579496486
"86",-1.7693938416949
"87",-1.92834466859369
"88",-1.96913203118505
"89",-1.97667202930489
"90",-2.27165644827858
"91",-2.43205948182867
"92",-2.24043764703183
"93",-2.45159650448177
"94",-2.66629198631778
"95",-1.9378523338533
"96",-1.83664941639623
"97",-1.83349744823719
"98",-2.61689761587841
"99",-2.36261016062144
"100",-1.66791175386922
"101",-2.12485982753921
"102",-2.011926045258
"103",-2.22314335484335
"104",-2.14000969122403
"105",-2.51323327360649
"106",-2.1176508994018
"107",-2.08901538471135
"108",-1.66259589876339
"109",-2.12967209655598
"110",-1.8033266436842
"111",-1.90438708129232
"112",-1.98764307222918
"113",-1.94500570115508
"114",-1.85995604501936
"115",-2.35850247601028
"116",-1.67893909381557
"117",-2.05265721328849
"118",-2.03345996374843
"119",-1.93859091341282
"120",-2.6600903031357
"121",-1.98438563536325
"122",-1.9689717279903
"123",-2.76526182912659
"124",-1.92479608125021
"125",-2.19214837420799
"126",-2.39838589734251
"127",-2.1524570876794
"128",-2.2856990850303
"129",-2.28536019992634
"130",-1.85946330246747
"131",-1.92944116315251
"132",-1.85129245956211
"133",-1.72405765698118
"134",-2.32868809658052
"135",-2.09117800442616
"136",-2.21806555388016
"137",-2.0482588477854
"138",-2.01434613776045
"139",-2.25778075289238
"140",-1.8655396088894
"141",-1.99667273648458
"142",-2.34421205143487
"143",-1.9389206246227
"144",-1.85625637833135
"145",-1.93266923949867
"146",-1.6561728533874
"147",-1.5511131182381
"148",-2.47415258214387
"149",-1.73532690447713
"150",-2.50589871066876
"151",-2.04531953859565
"152",-1.47658752979072
"153",-1.92360852037887
"154",-1.74971342027319
"155",-2.41876260725696
"156",-1.82756195636778
"157",-1.87844422943904
"158",-2.37113365553473
"159",-2.52544529783651
"160",-1.95281724261247
"161",-2.08460517615672
"162",-2.13921583891481
"163",-2.35507896081466
"164",-2.32307592360967
"165",-1.83478116662748
"166",-1.69311679226233
"167",-1.91648892558264
"168",-2.03905546782521
"169",-2.689137998391
"170",-2.14737517809404
"171",-1.71165455727198
"172",-1.89050712840818
"173",-2.10998242234729
"174",-1.79650797352789
"175",-2.83100387864138
"176",-1.97853613843024
"177",-1.83187150630971
"178",-2.17803514572029
"179",-2.18925115789379
"180",-2.23265311765574
"181",-1.51580266748172
"182",-1.96025385477676
"183",-2.42256441086681
"184",-2.53032244709532
"185",-2.18021385782304
"186",-2.40301047560553
"187",-2.04817918148621
"188",-1.98161065027353
"189",-1.81440473906335
"190",-1.72307653461979
"191",-2.59455709087388
"192",-1.75447258531084
"193",-2.33499650536355
"194",-1.7885842094569
"195",-2.25652434882035
"196",-2.28997038266355
"197",-2.18018411628644
"198",-1.62696109548976
"199",-1.90927432810469
"200",-1.71038175092808
"201",-1.73147992556209
"202",-1.9071619308276
"203",-2.55569280441582
"204",-1.99093925280693
"205",-2.38498105874545
"206",-1.88065222981493
"207",-2.02314853531857
"208",-2.23507046891304
"209",-1.31143350489758
"210",-1.87780181138722
"211",-2.20962508674998
"212",-1.79455806684929
"213",-1.46560351489901
"214",-1.82573982590205
"215",-2.08328876520572
"216",-2.17441938963156
"217",-2.6040215172211
"218",-2.23363845022083
"219",-1.3131552690863
"220",-2.53423819395833
"221",-2.07364356810305
"222",-2.20971807947838
"223",-2.08822940183382
"224",-2.1244217028316
"225",-1.97412478439584
"226",-2.06075412604718
"227",-1.88702507193291
"228",-2.32859363056516
"229",-3.06206430110572
"230",-2.36375421299751
"231",-1.99703259738335
"232",-1.65672830147268
"233",-2.04429640055647
"234",-1.94104675100488
"235",-2.67506876151621
"236",-1.74485399234676
"237",-2.0837699188591
"238",-1.97045533907178
"239",-2.38874538338594
"240",-2.25464732729231
"241",-1.83308925043045
"242",-2.00074083909414
"243",-2.08038021842469
"244",-2.09627020014984
"245",-1.72603905798049
"246",-1.84486614600608
"247",-2.17358452472872
"248",-2.46229675064895
"249",-1.47007945730481
"250",-1.83536293781434
"251",-2.00005783434166
"252",-1.64326606472844
"253",-2.21162303987026
"254",-2.03700432768721
"255",-2.07749986252183
"256",-1.9141307076633
"257",-1.83086823329316
"258",-2.21583685596041
"259",-2.15126253464267
"260",-1.5119634444205
"261",-2.07595062218912
"262",-2.10699022331599
"263",-1.60161093942679
"264",-1.92557161928304
"265",-1.85846678142594
"266",-1.9519739924323
"267",-2.16435846841746
"268",-3.25141189671435
"269",-2.70759110582903
"270",-1.74441784339566
"271",-1.3461121967927
"272",-2.13229018082812
"273",-2.31618371214475
"274",-2.08162012943566
"275",-1.92276321721172
"276",-2.03222273300632
"277",-2.31398091753685
"278",-2.21734133752167
"279",-2.05558460953025
"280",-2.43386252190656
"281",-1.94414452747651
"282",-2.09924929952292
"283",-2.32310983902346
"284",-2.37661190215815
"285",-1.82143828511996
"286",-2.10740140047035
"287",-2.49760314802206
"288",-1.9348241308001
"289",-1.75595361830936
"290",-2.24256438250868
"291",-1.92785638139233
"292",-2.66524412182706
"293",-1.97881393578715
"294",-1.83719117944529
"295",-2.33237491803487
"296",-1.97562771618001
"297",-1.59906745469876
"298",-1.86692249813749
"299",-2.31527943004985
"300",-2.40412351035798
"301",-3.17475274408845
"302",-2.00460921324053
"303",-1.72908974343248
"304",-2.8280051702789
"305",-1.47551737048347
"306",-1.48406114286494
"307",-1.73452499093978
"308",-3.5313558267947
"309",-1.94981532774917
"310",-1.97761246895524
"311",-2.09738110727214
