"","x"
"1",-3.13659440126906
"2",-7.31538290447142
"3",-1.62198386774944
"4",-2.46322097247076
"5",-2.21237893430841
"6",-4.34817095693876
"7",-2.0029462438491
"8",-1.83457028650634
"9",-1.45564434979836
"10",-1.28806209812124
"11",-1.70573322320606
"12",-2.10773674070115
"13",-2.65760325532675
"14",-1.78846707069355
"15",-2.09105916552663
"16",-1.7841531629302
"17",-1.41474771106615
"18",-1.08382930287602
"19",-1.57798327849472
"20",-2.26240236551656
"21",-2.05522900567626
"22",-2.94661353164601
"23",-2.35947711285113
"24",-2.48027530563926
"25",-1.78410741961309
"26",-2.61167711080083
"27",-1.89813137509767
"28",-3.40313237137607
"29",-1.26306447634277
"30",-2.13711234267003
"31",-2.00285048792974
"32",-1.85165432209086
"33",-1.47177889830993
"34",-3.57467469648049
"35",-1.4416619327093
"36",-2.41001773343673
"37",-2.40214173908455
"38",-2.0120154102635
"39",-1.98649250176649
"40",-1.55730554730676
"41",-2.00990532735715
"42",-4.28017580944157
"43",-1.40577442886518
"44",-2.19330552655494
"45",-2.30755663702788
"46",-2.77656150477988
"47",-1.5458556690636
"48",-1.94937531520709
"49",-1.78323200598152
"50",-2.10584839279506
"51",-2.35705883848051
"52",-1.23586374346251
"53",-1.65187095168033
"54",-1.87164021298974
"55",-1.67825005381756
"56",-2.23153154268162
"57",-1.69858079345164
"58",-1.71842371279798
"59",-1.67007655571687
"60",-1.82673709110903
"61",-2.88008093567627
"62",-2.79234904504379
"63",-1.53986219867975
"64",-2.66732621103967
"65",-1.29297850233063
"66",-1.43189902537536
"67",-1.95641840890403
"68",-2.45365193574139
"69",-2.07658234645901
"70",-2.4443135759894
"71",-1.78413847287878
"72",-2.35503667813847
"73",-2.20023431030584
"74",-1.31511513489332
"75",-1.69896871736945
"76",-2.97472323212131
"77",-1.67884377163987
"78",-1.73361346615818
"79",-2.00719944292381
"80",-1.69374840314479
"81",-1.73648091940368
"82",-3.41028124565863
"83",-1.48791517122603
"84",-1.13130689451166
"85",-2.16473994732099
"86",-1.8617210414416
"87",-1.20996201078781
"88",-1.94457050172125
"89",-3.08262025839234
"90",-1.95744248214334
"91",-1.63899541849386
"92",-1.08710402389341
"93",-3.82258919000272
"94",-2.14442114228281
"95",-2.9400049808247
"96",-2.40494419107946
"97",-1.59545821622335
"98",-2.64881536392546
"99",-1.29033556500288
"100",-2.23893029892249
"101",-1.48415372293719
"102",-1.89430818293687
"103",-1.6474393169637
"104",-2.92915450823251
"105",-1.71956496113814
"106",-2.04624713253836
"107",-1.71871280320953
"108",-1.47556170522087
"109",-1.69512411553406
"110",-2.59249008014031
"111",-2.0053161870445
"112",-2.26102948964264
"113",-2.54288710962074
"114",-3.61180986597821
"115",-1.61642437078176
"116",-2.25119163438155
"117",-1.883371744484
"118",-2.25497167977599
"119",-2.41267980344545
"120",-2.14842731453046
"121",-1.3182242161675
"122",-2.42945266760251
"123",-2.42399004879243
"124",-2.2960478612067
"125",-1.25701285541714
"126",-1.3379033781034
"127",-1.52671429091393
"128",-2.50558783749008
"129",-1.41172777344379
"130",-1.75381443566992
"131",-1.64496146631564
"132",-2.10261281646594
"133",-2.86802455970487
"134",-1.85297120830227
"135",-2.83501951539433
"136",-2.22387341373935
"137",-3.80988736105668
"138",-5.44893316486216
"139",-1.91173865430399
"140",-0.969096894798685
"141",-4.98854161221698
"142",-2.12932124894585
"143",-1.9941425283883
"144",-1.47696079353832
"145",-1.76132137545606
"146",-2.01168270156034
"147",-1.58570438273561
"148",-1.98344961925861
"149",-2.75731986773151
"150",-2.42205637424888
"151",-1.91547872350558
"152",-1.50301625454475
"153",-2.68468437156404
"154",-2.17161052591629
"155",-2.61743738427682
"156",-1.59346559831769
"157",-1.30825783114286
"158",-1.6053540916348
"159",-2.2594547750124
"160",-2.71671620067152
"161",-2.48091324985674
"162",-1.33835771960933
"163",-1.91253599468823
"164",-3.36878591544153
"165",-1.15999009463764
"166",-1.33414057833664
"167",-1.20173375523946
"168",-1.95937279928761
"169",-1.95407685832854
"170",-2.24344523732598
"171",-4.39256447531917
"172",-2.62344667670334
"173",-2.34759610985338
"174",-1.09462874463603
"175",-2.06839478856077
"176",-1.29042608732147
"177",-2.38167106572283
"178",-2.08996313381216
"179",-3.00374068079731
"180",-1.20825034689813
"181",-1.53349704284915
"182",-1.80584514058527
"183",-1.37719318155749
"184",-1.42093784393657
"185",-1.58038288659963
"186",-3.1525591766625
"187",-1.12464750443376
"188",-3.21911160693905
"189",-2.52745304304152
"190",-2.78181134374664
"191",-3.31043942821798
"192",-1.90035537725689
"193",-3.02715514084462
"194",-2.21625526687884
"195",-3.94127430478622
"196",-4.69266806648253
"197",-1.87552242438464
"198",-0.799705230792157
"199",-2.80206025802965
"200",-1.69975810120803
"201",-1.60970589145204
"202",-3.57448222103568
"203",-2.85766774221459
"204",-3.72372888609064
"205",-2.57561413981729
"206",-2.29337094859058
"207",-2.37263382672886
"208",-2.32876708702558
"209",-1.24630060680539
"210",-2.97777917268471
"211",-1.63557676466551
"212",-4.05092458918604
"213",-2.02941442292929
"214",-9.96223055293502
"215",-1.34707181260327
"216",-2.19370210920595
"217",-5.07245137801838
"218",-2.7603175713118
"219",-2.85239914845008
"220",-2.34585891793105
"221",-1.61216886529995
"222",-2.05039321591793
"223",-2.11258035657434
"224",-2.76258248737764
"225",-2.2102287444916
"226",-1.3076713239956
"227",-1.61798453055986
"228",-1.70892753104077
"229",-1.58166212937698
"230",-2.03978368803772
"231",-3.45006249598639
"232",-1.6820417334532
"233",-1.69124851309995
