"","x"
"1",-1.65
"2",-2.1
"3",-1.5
"4",-2.55
"5",-1.9
"6",-1.8
"7",-1.65
"8",-1.85
"9",-1.9
"10",-1.85
"11",-2
"12",-1.6
"13",-1.7
"14",-1.9
"15",-1.7
"16",-1.9
"17",-1.7
"18",-2.25
"19",-2.05
"20",-1.8
"21",-4
"22",-1.95
"23",-1.75
"24",-2.25
"25",-1.9
"26",-2.3
"27",-1.8
"28",-1.85
"29",-2.65
"30",-2.4
"31",-2.05
"32",-2.2
"33",-1.6
"34",-1.5
"35",-1.9
"36",-2.05
"37",-2.7
"38",-2.3
"39",-2.3
"40",-2.6
"41",-1.8
"42",-2.15
"43",-2.25
"44",-1.9
"45",-1.55
"46",-2.1
"47",-1.3
"48",-2.1
"49",-1.8
"50",-2.05
"51",-1.7
"52",-1.8
"53",-1.75
"54",-2.05
"55",-1.55
"56",-2.05
"57",-2
"58",-1.6
"59",-2.45
"60",-1.7
"61",-1.95
"62",-2.65
"63",-1.95
"64",-1.9
"65",-1.4
"66",-2.75
"67",-2.35
"68",-1.4
"69",-2.5
"70",-2.1
"71",-1.9
"72",-2.1
"73",-1.85
"74",-2.4
"75",-1.45
"76",-2
"77",-1.45
"78",-1.75
"79",-1.85
"80",-2.5
"81",-1.9
"82",-1.9
"83",-2.05
"84",-1.6
"85",-2
"86",-3.5
"87",-2.45
"88",-1.75
"89",-1.75
"90",-1.35
"91",-2.15
"92",-1.8
"93",-1.75
"94",-3.4
"95",-2.7
"96",-2.45
"97",-1.95
"98",-1.85
"99",-2.4
"100",-2.2
"101",-1.6
"102",-4
"103",-2.65
"104",-3.1
"105",-1.65
"106",-1.65
"107",-1.5
"108",-1.95
"109",-1.55
"110",-2.05
"111",-2.1
"112",-2.95
"113",-2.05
"114",-1.85
"115",-1.95
"116",-4
"117",-1.7
"118",-1.5
"119",-1.6
"120",-1.7
"121",-1.45
"122",-2.1
"123",-1.5
"124",-1.4
"125",-1.45
"126",-2.05
"127",-2.35
"128",-2
"129",-2.7
"130",-1.85
"131",-2.65
"132",-1.55
"133",-2.3
"134",-1.85
"135",-1.9
"136",-2.45
"137",-1.75
"138",-1.75
"139",-2.15
"140",-4
"141",-1.95
"142",-1.65
"143",-1.75
"144",-2
"145",-2.75
"146",-1.9
"147",-1.2
"148",-1.6
"149",-2.65
"150",-1.45
"151",-2.85
"152",-3.35
"153",-2.3
"154",-2.35
"155",-1.75
"156",-2.85
"157",-1.7
"158",-1.8
"159",-2.4
"160",-2.9
"161",-1.6
"162",-1.5
"163",-1.75
"164",-2
"165",-1.65
"166",-1.8
"167",-2.15
"168",-2.35
"169",-2
"170",-1.5
"171",-1.65
"172",-2.3
"173",-1.5
"174",-1.65
"175",-2.35
"176",-1.9
"177",-2.65
"178",-2.15
"179",-1.8
"180",-4
"181",-1.85
"182",-1.7
"183",-2.1
"184",-1.85
"185",-2.05
"186",-2.1
"187",-1.95
"188",-3.95
"189",-1.55
"190",-1.7
"191",-1.55
"192",-1.75
"193",-3.35
"194",-1.75
"195",-1.85
"196",-1.4
"197",-2.2
"198",-1.85
"199",-1.75
"200",-2.75
"201",-3.95
"202",-1.95
"203",-3
"204",-1.85
"205",-2.05
"206",-1.55
"207",-1.85
"208",-1.6
"209",-1.6
"210",-2.1
"211",-2.3
"212",-2.15
"213",-1.85
"214",-1.65
"215",-2.05
"216",-2.1
"217",-2.4
"218",-2.4
"219",-1.85
"220",-2.4
"221",-1.9
"222",-1.55
"223",-1.85
"224",-2.05
"225",-1.4
"226",-1.9
"227",-2.45
"228",-2.65
"229",-1.75
"230",-2.25
"231",-2.4
"232",-1.7
"233",-1.5
"234",-1.7
"235",-1.45
"236",-1.5
"237",-1.85
"238",-1.9
"239",-1.95
"240",-1.75
"241",-3.2
"242",-1.55
"243",-2.25
"244",-1.7
"245",-2
"246",-1.55
"247",-1.75
"248",-1.85
"249",-1.1
"250",-1.9
"251",-1.75
"252",-1.8
"253",-2.35
"254",-3.35
"255",-1.85
"256",-2.2
"257",-1.75
"258",-2.1
"259",-1.75
"260",-2.3
"261",-1.55
"262",-1.7
"263",-1.6
"264",-1.75
"265",-1.7
"266",-3.25
"267",-2.3
"268",-1.2
"269",-1.7
"270",-1.95
"271",-1.45
"272",-3.25
"273",-2.1
"274",-1.45
"275",-2.45
"276",-2.2
"277",-1.15
"278",-2
"279",-2.05
"280",-3.2
"281",-2.15
"282",-2.5
"283",-1.75
"284",-1.35
"285",-2.4
"286",-1.7
"287",-3.65
"288",-2.65
"289",-2.1
"290",-2.1
"291",-2.1
"292",-2.25
"293",-1.55
"294",-2.45
"295",-2.1
"296",-1.85
"297",-1.65
"298",-1.85
"299",-2.5
"300",-1.95
"301",-1.75
"302",-1.5
"303",-1.3
"304",-1.8
"305",-2.6
"306",-2.1
"307",-2.05
"308",-1.65
"309",-1.7
"310",-2.4
"311",-2.35
"312",-2.1
"313",-1.7
"314",-2.75
"315",-3.25
"316",-2.05
"317",-1.85
"318",-1.55
"319",-2.45
"320",-1.55
"321",-1.95
"322",-1.85
"323",-2
"324",-1.6
"325",-1.75
"326",-1.7
"327",-1.65
"328",-1.7
"329",-1.6
"330",-1.75
"331",-1.85
"332",-2.15
"333",-2
"334",-2.75
"335",-1.9
"336",-2.75
"337",-3.45
"338",-1.95
"339",-1.6
"340",-3.7
"341",-1.8
"342",-2.35
"343",-2.45
"344",-1.65
"345",-1.6
"346",-2.3
"347",-2.55
"348",-2.55
"349",-1.35
"350",-1.9
"351",-1.85
"352",-1.95
"353",-1.8
"354",-2.5
"355",-2.5
"356",-1.8
"357",-1.55
"358",-1.9
"359",-1.6
"360",-4
"361",-2.05
"362",-1.95
"363",-1.9
"364",-1.35
"365",-1.4
"366",-2.15
"367",-2.2
"368",-1.45
"369",-2.2
"370",-1.6
"371",-1.85
"372",-2.55
"373",-1.75
"374",-1.8
"375",-1.8
"376",-2.6
"377",-1.8
"378",-1.8
"379",-1.45
"380",-1.65
"381",-2.15
"382",-2.1
"383",-2
"384",-1.8
"385",-1.85
"386",-1.6
"387",-1.95
"388",-1.85
"389",-1.85
"390",-1.95
"391",-2.4
"392",-1.8
"393",-1.7
"394",-1.85
"395",-2.35
"396",-2.2
"397",-3.1
"398",-1.85
"399",-2.4
"400",-1.6
"401",-2.05
"402",-2.6
"403",-1.65
"404",-2.05
"405",-2.05
"406",-1.85
"407",-2.6
"408",-1.45
"409",-2.1
"410",-2.75
"411",-1.35
"412",-1.7
"413",-2.65
"414",-2.3
"415",-2.55
"416",-1.5
"417",-1.95
"418",-2.3
"419",-2.65
"420",-2.3
"421",-2.45
"422",-1.85
"423",-1.45
"424",-1.7
"425",-1.4
"426",-1.65
"427",-1.85
"428",-1.75
"429",-1.8
"430",-4
"431",-1.75
"432",-1.95
"433",-2.25
"434",-1.9
"435",-1.75
"436",-1.75
"437",-1.9
"438",-2.4
"439",-1.8
"440",-2.2
"441",-1.9
"442",-1.7
"443",-2.9
"444",-2.2
"445",-2
"446",-2.05
"447",-2.05
"448",-2.05
"449",-2.1
"450",-3.7
"451",-3.1
"452",-2.4
"453",-2.45
"454",-1.4
"455",-2.1
"456",-1.55
"457",-2.2
"458",-2
"459",-2
"460",-2.3
"461",-4
"462",-2.65
"463",-1.75
"464",-2.15
"465",-3.25
"466",-3.8
"467",-1.95
"468",-3.05
"469",-2
"470",-2.15
"471",-1.55
"472",-1.4
"473",-2.45
"474",-1.7
"475",-1.3
"476",-2.15
"477",-1.75
"478",-1.9
"479",-2.25
"480",-2.25
"481",-1.8
"482",-2.2
"483",-2.8
"484",-1.6
"485",-1.55
"486",-2.4
"487",-1.95
"488",-2.75
"489",-2.1
"490",-1.9
"491",-1.65
"492",-1.95
"493",-1.85
"494",-2.25
"495",-2.4
"496",-1.8
"497",-1.8
"498",-1.85
"499",-1.6
"500",-2.05
"501",-1.9
"502",-3.15
"503",-2.3
"504",-2
"505",-2.1
"506",-3.65
"507",-1.85
"508",-1.6
"509",-1.75
"510",-1.95
"511",-1.95
"512",-2.2
"513",-2
"514",-2.45
"515",-2.4
"516",-2.35
"517",-1.7
"518",-1.95
"519",-1.85
"520",-2.05
"521",-1.75
"522",-2
"523",-2.75
"524",-1.8
"525",-2
"526",-2.3
"527",-2.4
"528",-1.9
"529",-2.4
"530",-2.35
"531",-1.9
"532",-1.85
"533",-2.3
"534",-1.6
"535",-1.9
"536",-2.65
"537",-2
"538",-1.95
"539",-2
"540",-2.15
"541",-1.85
"542",-3.6
"543",-1.65
"544",-1.65
"545",-1.4
"546",-2
"547",-2
"548",-1.95
"549",-1.95
"550",-2.2
"551",-1.95
"552",-2.25
"553",-1.7
"554",-2
"555",-2.55
"556",-1.75
"557",-1.8
"558",-2.15
"559",-2.05
"560",-2.75
"561",-1.55
"562",-1.65
"563",-1.9
"564",-2.3
"565",-2
"566",-2.5
"567",-2.3
"568",-2.15
"569",-1.6
"570",-1.6
"571",-1.7
"572",-2.5
"573",-1.8
"574",-3.85
"575",-1.65
"576",-2
"577",-2.4
"578",-2.25
"579",-3.1
"580",-3.2
"581",-1.85
"582",-1.7
"583",-1.85
"584",-1.6
"585",-1.65
"586",-1.95
"587",-1.85
"588",-1.65
"589",-2.35
"590",-1.6
"591",-2.3
"592",-1.8
"593",-1.95
"594",-1.7
"595",-1.95
"596",-2.1
"597",-1.9
"598",-2.6
"599",-1.75
"600",-2
"601",-1.9
"602",-1.95
"603",-1.9
"604",-2.7
"605",-1.65
"606",-1.85
"607",-1.85
"608",-1.5
"609",-2.95
"610",-1.75
"611",-2.2
"612",-1.6
"613",-1.25
"614",-2
"615",-2.7
"616",-1.9
"617",-2.15
"618",-2.05
"619",-1.9
"620",-3.45
"621",-1.7
"622",-1.95
"623",-2
"624",-1.95
"625",-2
"626",-2
"627",-3.65
"628",-2.05
"629",-1.7
"630",-1.65
"631",-1.75
"632",-1.25
"633",-2.3
"634",-1.7
"635",-1.5
"636",-2.7
"637",-1.85
"638",-3.2
"639",-1.75
"640",-1.6
"641",-2
"642",-2.05
"643",-3.6
"644",-1.55
"645",-2.35
"646",-1.6
"647",-1.9
"648",-1.85
"649",-1.95
"650",-1.75
"651",-2.4
"652",-1.85
"653",-1.95
"654",-2.6
"655",-2.35
"656",-2.55
"657",-2.45
"658",-1.55
"659",-2.2
"660",-1.8
"661",-1.7
"662",-2.2
"663",-2
"664",-2.7
"665",-2.25
"666",-2.25
"667",-1.8
"668",-1.75
"669",-1.55
"670",-3.05
"671",-2.15
"672",-1.9
"673",-2
"674",-1.65
"675",-1.8
"676",-2
"677",-1.5
"678",-2.1
"679",-1.9
"680",-2.8
"681",-2.2
"682",-1.85
"683",-2.25
"684",-2.45
"685",-1.8
"686",-3.15
"687",-2.1
"688",-2.2
"689",-1.95
"690",-2.1
"691",-1.3
"692",-2.25
"693",-2.35
"694",-2.05
"695",-1.75
"696",-2.75
"697",-1.5
"698",-1.6
"699",-2.05
"700",-2.05
