"","x"
"1",-0.575757575757576
"2",-0.575757575757576
"3",-0.515151515151515
"4",-0.515151515151515
"5",-0.545454545454545
"6",-0.545454545454545
"7",-0.484848484848485
"8",-0.363636363636364
"9",-0.454545454545455
"10",-0.454545454545455
"11",-0.454545454545455
"12",-0.545454545454545
"13",-0.515151515151515
"14",-0.545454545454545
"15",-0.545454545454545
"16",-0.515151515151515
"17",-0.666666666666667
"18",-0.606060606060606
"19",-0.545454545454545
"20",-0.545454545454545
"21",-0.393939393939394
"22",-0.515151515151515
"23",-0.484848484848485
"24",-0.454545454545455
"25",-0.484848484848485
"26",-0.636363636363636
"27",-0.484848484848485
"28",-0.424242424242424
"29",-0.515151515151515
"30",-0.545454545454545
"31",-0.484848484848485
"32",-0.666666666666667
"33",-0.454545454545455
"34",-0.636363636363636
"35",-0.424242424242424
"36",-0.545454545454545
"37",-0.454545454545455
"38",-0.484848484848485
"39",-0.454545454545455
"40",-0.575757575757576
"41",-0.606060606060606
"42",-0.484848484848485
"43",-0.666666666666667
"44",-0.484848484848485
"45",-0.454545454545455
"46",-0.454545454545455
"47",-0.515151515151515
"48",-0.363636363636364
"49",-0.515151515151515
"50",-0.515151515151515
"51",-0.424242424242424
"52",-0.575757575757576
"53",-0.484848484848485
"54",-0.515151515151515
"55",-0.454545454545455
"56",-0.545454545454545
"57",-0.515151515151515
"58",-0.545454545454545
"59",-0.515151515151515
"60",-0.484848484848485
"61",-0.545454545454545
"62",-0.545454545454545
"63",-0.515151515151515
"64",-0.454545454545455
"65",-0.575757575757576
"66",-0.545454545454545
"67",-0.454545454545455
"68",-0.484848484848485
"69",-0.515151515151515
"70",-0.424242424242424
"71",-0.545454545454545
"72",-0.484848484848485
"73",-0.515151515151515
"74",-0.636363636363636
"75",-0.545454545454545
"76",-0.484848484848485
"77",-0.484848484848485
"78",-0.424242424242424
"79",-0.424242424242424
"80",-0.484848484848485
"81",-0.606060606060606
"82",-0.424242424242424
"83",-0.575757575757576
"84",-0.515151515151515
"85",-0.545454545454545
"86",-0.484848484848485
"87",-0.454545454545455
"88",-0.484848484848485
"89",-0.484848484848485
"90",-0.454545454545455
"91",-0.333333333333333
"92",-0.515151515151515
"93",-0.424242424242424
"94",-0.545454545454545
"95",-0.636363636363636
"96",-0.484848484848485
"97",-0.606060606060606
"98",-0.484848484848485
"99",-0.515151515151515
"100",-0.484848484848485
"101",-0.484848484848485
"102",-0.515151515151515
"103",-0.606060606060606
"104",-0.484848484848485
"105",-0.484848484848485
"106",-0.515151515151515
"107",-0.515151515151515
"108",-0.606060606060606
"109",-0.424242424242424
"110",-0.606060606060606
"111",-0.606060606060606
"112",-0.515151515151515
"113",-0.515151515151515
"114",-0.484848484848485
"115",-0.545454545454545
"116",-0.424242424242424
"117",-0.454545454545455
"118",-0.515151515151515
"119",-0.484848484848485
"120",-0.454545454545455
"121",-0.454545454545455
"122",-0.545454545454545
"123",-0.454545454545455
"124",-0.515151515151515
"125",-0.515151515151515
"126",-0.575757575757576
"127",-0.515151515151515
"128",-0.515151515151515
"129",-0.454545454545455
"130",-0.454545454545455
"131",-0.484848484848485
"132",-0.575757575757576
"133",-0.545454545454545
"134",-0.515151515151515
"135",-0.484848484848485
"136",-0.454545454545455
"137",-0.575757575757576
"138",-0.545454545454545
"139",-0.484848484848485
"140",-0.484848484848485
"141",-0.545454545454545
"142",-0.484848484848485
"143",-0.454545454545455
"144",-0.424242424242424
"145",-0.484848484848485
"146",-0.515151515151515
"147",-0.515151515151515
"148",-0.515151515151515
"149",-0.484848484848485
"150",-0.484848484848485
"151",-0.515151515151515
"152",-0.696969696969697
"153",-0.606060606060606
"154",-0.454545454545455
"155",-0.393939393939394
"156",-0.575757575757576
"157",-0.484848484848485
"158",-0.484848484848485
"159",-0.515151515151515
"160",-0.606060606060606
"161",-0.515151515151515
"162",-0.484848484848485
"163",-0.484848484848485
"164",-0.575757575757576
"165",-0.515151515151515
"166",-0.454545454545455
"167",-0.454545454545455
"168",-0.545454545454545
"169",-0.515151515151515
"170",-0.545454545454545
"171",-0.575757575757576
"172",-0.575757575757576
"173",-0.515151515151515
"174",-0.484848484848485
"175",-0.454545454545455
"176",-0.393939393939394
"177",-0.515151515151515
"178",-0.393939393939394
"179",-0.515151515151515
"180",-0.454545454545455
"181",-0.454545454545455
"182",-0.454545454545455
"183",-0.424242424242424
"184",-0.454545454545455
"185",-0.515151515151515
"186",-0.454545454545455
"187",-0.575757575757576
"188",-0.454545454545455
"189",-0.454545454545455
"190",-0.515151515151515
"191",-0.575757575757576
"192",-0.545454545454545
"193",-0.575757575757576
"194",-0.545454545454545
"195",-0.575757575757576
"196",-0.484848484848485
"197",-0.575757575757576
